requested_density,effective_density,density_index,run_index,model_preset,comparison_mode,pv_speed_nongraph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,15,grid-cnn-matched,left_if_safe,4.591,4.749,-0.15799999999999947,0.9667298378606023,0.02633333333333332,0.002024000000000914,1.0029033593043426,0.006615000000007143,0.016500000000000015
0.3,0.3,0,16,grid-cnn-matched,baseline1_hdv,5.793,2.438,3.355,2.3761279737489747,-0.5591666666666666,-0.01995249999999904,0.9727719462002874,-0.06371250000000206,-0.045
0.3,0.3,0,16,grid-cnn-matched,baseline2_matched,5.793,3.6455,2.1475,1.589082430393636,-0.35791666666666666,-0.015879624999998843,0.9782088537884898,-0.05114249999999654,-0.0035
0.3,0.3,0,16,grid-cnn-matched,policy_noop,5.793,2.5575,3.2355,2.2651026392961877,-0.53925,-0.023152749999997946,0.9685421279911602,-0.0744795833333396,-0.0405
0.3,0.3,0,16,grid-cnn-matched,left_if_safe,5.793,5.8145,-0.02149999999999963,0.9963023475793276,0.0035833333333332718,0.005678375000001679,1.0080298178155673,0.018909999999995097,0.0
0.3,0.3,0,17,grid-cnn-matched,baseline1_hdv,4.7225,2.3635,2.359,1.9980960440025386,-0.39316666666666666,-0.009289875000001113,0.9869643278733136,-0.029000416666665085,-0.10350000000000001
0.3,0.3,0,17,grid-cnn-matched,baseline2_matched,4.7225,3.2585,1.464,1.4492864815098971,-0.244,-0.010425875000001694,0.9853935614478401,-0.03353291666666447,-0.07050000000000001
0.3,0.3,0,17,grid-cnn-matched,policy_noop,4.7225,2.416,2.3065,1.954677152317881,-0.38441666666666663,-0.009059375000001757,0.9872836554573315,-0.02827583333332706,-0.11200000000000002
0.3,0.3,0,17,grid-cnn-matched,left_if_safe,4.7225,5.141,-0.41849999999999987,0.9185956039680996,0.06974999999999998,0.0037152499999998367,1.0053101920777334,0.012035416666670518,0.072
0.3,0.3,0,18,grid-cnn-matched,baseline1_hdv,4.455,2.4555,1.9995000000000003,1.8142944410507027,-0.33325000000000016,-0.06178887500000141,0.9160079534942818,-0.20429666666666169,0.125
0.3,0.3,0,18,grid-cnn-matched,baseline2_matched,4.455,3.6445,0.8105000000000002,1.2223899025929483,-0.13508333333333344,-0.05442675000000119,0.9252676863506334,-0.18074708333332978,0.161
0.3,0.3,0,18,grid-cnn-matched,policy_noop,4.455,2.4825,1.9725000000000001,1.7945619335347434,-0.32875,-0.05389850000000107,0.9259392977331662,-0.1780179166666671,0.035
0.3,0.3,0,18,grid-cnn-matched,left_if_safe,4.455,5.716,-1.2610000000000001,0.7793911826452065,0.2101666666666666,-0.032150875000001355,0.9544613877779938,-0.10822041666666271,0.1635
0.3,0.3,0,19,grid-cnn-matched,baseline1_hdv,5.712,2.493,3.219,2.2912154031287604,-0.5365,-0.02058287500000111,0.9719786990259757,-0.06592708333333297,-0.027
0.3,0.3,0,19,grid-cnn-matched,baseline2_matched,5.712,3.6075,2.1045,1.5833679833679832,-0.35075,-0.013469249999999988,0.9814837917449817,-0.043143749999996484,-0.0055
0.3,0.3,0,19,grid-cnn-matched,policy_noop,5.712,2.4705,3.2415,2.3120825743776563,-0.5402499999999999,-0.023201000000001137,0.9685265925264717,-0.07463541666666229,-0.064
0.3,0.3,0,19,grid-cnn-matched,left_if_safe,5.712,5.869,-0.15700000000000003,0.9732492758561936,0.02616666666666667,0.007734874999998476,1.010952405647693,0.025652083333330467,0.0015
