requested_density,effective_density,density_index,run_index,comparison_mode,pv_speed_graph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,5,baseline2_matched,3.378,3.1375,0.24049999999999994,1.0766533864541832,-0.04008333333333336,-0.010798124999999326,0.9852255293821874,-0.035793333333337785,0.042
0.3,0.3,0,6,baseline1_hdv,3.701,2.3455,1.3555000000000001,1.57791515668301,-0.22591666666666677,-0.006303124999999521,0.9913439494764749,-0.01988083333333801,-0.08950000000000001
0.3,0.3,0,6,baseline2_matched,3.701,3.3175,0.3835000000000002,1.115599095704597,-0.06391666666666673,-0.008886124999999079,0.987839862991697,-0.029300833333336218,-0.004499999999999999
0.3,0.3,0,7,baseline1_hdv,3.1455,2.3595,0.786,1.333121424030515,-0.1309999999999999,-0.007215749999999521,0.989892451240787,-0.02339749999999885,-0.07649999999999998
0.3,0.3,0,7,baseline2_matched,3.1455,2.9995,0.14600000000000035,1.0486747791298552,-0.02433333333333343,-0.005991750000000962,0.9915925691739801,-0.019850833333336038,-0.06749999999999998
0.3,0.3,0,8,baseline1_hdv,3.493,2.458,1.0349999999999997,1.421074043938161,-0.1725,-0.014005250000000635,0.9809452445764466,-0.04582166666666865,-0.015499999999999996
0.3,0.3,0,8,baseline2_matched,3.493,3.2475,0.24549999999999983,1.0755966127790608,-0.0409166666666666,-0.008412499999999712,0.988466666438171,-0.027837083333332124,0.008
0.3,0.3,0,9,baseline1_hdv,3.553,2.4025,1.1505,1.478876170655567,-0.19174999999999998,-0.011442249999997656,0.9844107159340165,-0.037182083333336724,-0.022000000000000002
0.3,0.3,0,9,baseline2_matched,3.553,3.256,0.29700000000000015,1.0912162162162162,-0.04949999999999999,-0.007843499999998893,0.9892611136896684,-0.025897500000008122,0.011
0.3,0.3,0,10,baseline1_hdv,3.0555,2.437,0.6185,1.2537956503898235,-0.10308333333333342,-0.02448912499999978,0.9666641880579956,-0.08111499999999339,0.122
0.3,0.3,0,10,baseline2_matched,3.0555,3.2305,-0.17500000000000027,0.9458288190682556,0.029166666666666674,-0.012900750000001127,0.9821573978700061,-0.043148333333333344,0.07500000000000001
0.3,0.3,0,11,baseline1_hdv,3.327,2.4225,0.9045000000000001,1.373374613003096,-0.15074999999999994,-0.002396000000001508,0.9966560155084936,-0.007232916666665812,-0.087
0.3,0.3,0,11,baseline2_matched,3.327,2.9765,0.3504999999999998,1.1177557534016462,-0.05841666666666656,-0.0021555000000020863,0.9969906599466652,-0.006892916666667137,-0.0965
0.3,0.3,0,12,baseline1_hdv,3.2745,2.5165,0.758,1.3012120007947545,-0.1263333333333333,-0.023309875000001146,0.968225675250618,-0.07706791666667145,0.09
0.3,0.3,0,12,baseline2_matched,3.2745,3.105,0.1695000000000002,1.0545893719806765,-0.02825000000000011,-0.020139625000000105,0.9724279780460189,-0.06699083333334066,0.12050000000000001
0.3,0.3,0,13,baseline1_hdv,3.4255,2.4475,0.9780000000000002,1.399591419816139,-0.16299999999999992,-0.021690124999999005,0.9705469341032199,-0.07148541666666164,0.04200000000000001
0.3,0.3,0,13,baseline2_matched,3.4255,3.251,0.1745000000000001,1.0536757920639803,-0.02908333333333335,-0.01575762499999922,0.9784289168633515,-0.052380000000003424,0.07350000000000001
0.3,0.3,0,14,baseline1_hdv,3.566,2.46,1.1059999999999999,1.4495934959349592,-0.18433333333333335,-0.010360124999999054,0.9858206879278519,-0.03361208333333687,-0.025
0.3,0.3,0,14,baseline2_matched,3.566,3.216,0.34999999999999964,1.1088308457711442,-0.05833333333333324,-0.009745749999998776,0.986650322732208,-0.032194166666667634,0.026499999999999996
0.3,0.3,0,15,baseline1_hdv,3.4075,2.4945,0.9130000000000003,1.3660052114652237,-0.15216666666666667,-0.004063375000000979,0.9943363826651864,-0.012783749999997429,-0.06550000000000002
0.3,0.3,0,15,baseline2_matched,3.4075,3.163,0.24450000000000038,1.077300031615555,-0.040750000000000064,-0.007731375000000429,0.9892786605285312,-0.025567499999992638,-0.009000000000000008
0.3,0.3,0,16,baseline1_hdv,3.383,2.472,0.911,1.368527508090615,-0.15183333333333338,-0.009310499999998889,0.9872849934106769,-0.030275833333341495,-0.0275
0.3,0.3,0,16,baseline2_matched,3.383,3.1935,0.18950000000000022,1.059339282918428,-0.0315833333333333,-0.009984874999999893,0.9863765710928302,-0.03312500000000229,0.017
0.3,0.3,0,17,baseline1_hdv,3.0765,2.3935,0.6829999999999998,1.2853561729684562,-0.11383333333333334,-0.02627062499999888,0.964273310829592,-0.08699958333332836,0.134
0.3,0.3,0,17,baseline2_matched,3.0765,3.3585,-0.28200000000000003,0.9160339437248771,0.04700000000000004,-0.022143125000001374,0.9697165101562374,-0.07404541666666331,0.1595
0.3,0.3,0,18,baseline1_hdv,3.3385,2.3985,0.94,1.3919116114238066,-0.15666666666666662,-0.02494250000000009,0.9660372361520122,-0.08235833333333309,0.10599999999999998
0.3,0.3,0,18,baseline2_matched,3.3385,3.1995,0.1389999999999998,1.0434442881700265,-0.02316666666666667,-0.020817750000001745,0.9714935658460915,-0.06927666666666576,0.13349999999999998
0.3,0.3,0,19,baseline1_hdv,3.6215,2.4015,1.2200000000000002,1.5080158234436811,-0.20333333333333337,-0.012346624999998057,0.9832048441763993,-0.040138749999993006,-0.024499999999999997
0.3,0.3,0,19,baseline2_matched,3.6215,3.2885,0.3330000000000002,1.101261973544169,-0.055499999999999994,-0.008109124999998052,0.9889051760509993,-0.026752916666668458,0.002999999999999999
