requested_density,effective_density,density_index,run_index,priority_scenario,treatment_mode,controller_fraction,priority_speed_delta,worst_priority_speed_delta,priority_time_loss_delta,background_flow_ratio,background_flow_loss,priority_lap_time_delta
0.5499999999999999,0.54975,10,1,two-2g,baseline2_matched_0.500,0.5,0.09625000000000006,0.09899999999999998,-0.016041666666666732,1.001209978202151,-0.001209978202151074,-138.0
0.5499999999999999,0.54975,10,1,two-2g,baseline2_matched_0.650,0.65,0.14450000000000007,0.14700000000000002,-0.024083333333333456,1.0026963333349015,-0.0026963333349014906,-214.0
0.5499999999999999,0.54975,10,1,two-2g,baseline2_matched_0.800,0.8,0.21150000000000002,0.21300000000000008,-0.035250000000000004,1.0038894525442856,-0.003889452544285632,-263.0
0.5499999999999999,0.54975,10,1,two-2g,baseline2_matched_0.950,0.95,0.33224999999999993,0.3325,-0.05537500000000006,1.0050096082439919,-0.005009608243991881,-350.0
0.5499999999999999,0.54975,10,1,two-g,baseline2_all_hdv_yield,1.0,0.37949999999999995,0.381,-0.06325000000000003,1.0046329064875894,-0.0046329064875894055,-390.25
0.5499999999999999,0.54975,10,1,two-g,baseline2_matched_0.050,0.05,-0.00649999999999995,-0.015000000000000013,0.001083333333333325,1.0003888623413495,-0.00038886234134949405,-21.0
0.5499999999999999,0.54975,10,1,two-g,baseline2_matched_0.200,0.2,0.03975000000000006,0.04249999999999998,-0.006625000000000103,1.000508257175369,-0.0005082571753689535,-68.0
0.5499999999999999,0.54975,10,1,two-g,baseline2_matched_0.350,0.35,0.05500000000000005,0.05499999999999994,-0.009166666666666767,1.0021772974592398,-0.00217729745923978,-75.0
0.5499999999999999,0.54975,10,1,two-g,baseline2_matched_0.500,0.5,0.11125000000000007,0.10550000000000004,-0.01854166666666679,1.0028209793306,-0.002820979330599993,-169.5
0.5499999999999999,0.54975,10,1,two-g,baseline2_matched_0.650,0.65,0.14575000000000005,0.138,-0.024291666666666822,1.0018732828355834,-0.001873282835583412,-206.0
0.5499999999999999,0.54975,10,1,two-g,baseline2_matched_0.800,0.8,0.23025000000000007,0.23249999999999993,-0.03837500000000005,1.0023749069646157,-0.0023749069646157306,-279.0
0.5499999999999999,0.54975,10,1,two-g,baseline2_matched_0.950,0.95,0.3027500000000001,0.30299999999999994,-0.05045833333333338,1.0041310059816266,-0.004131005981626634,-343.5
0.5499999999999999,0.54975,10,2,one,baseline2_all_hdv_yield,1.0,0.38949999999999996,0.38949999999999996,-0.06491666666666673,1.0025848313626942,-0.002584831362694162,-386.5
0.5499999999999999,0.54975,10,2,one,baseline2_matched_0.050,0.05,0.0,0.0,0.0,1.0001445537641882,-0.00014455376418820443,15.0
0.5499999999999999,0.54975,10,2,one,baseline2_matched_0.200,0.2,0.028000000000000025,0.028000000000000025,-0.004666666666666708,1.0000608065547247,-6.080655472473495e-05,-65.0
0.5499999999999999,0.54975,10,2,one,baseline2_matched_0.350,0.35,0.07800000000000007,0.07800000000000007,-0.013000000000000012,0.9997968508285312,0.00020314917146879719,-99.0
0.5499999999999999,0.54975,10,2,one,baseline2_matched_0.500,0.5,0.12050000000000005,0.12050000000000005,-0.020083333333333342,1.0013559861703807,-0.0013559861703806853,-132.0
0.5499999999999999,0.54975,10,2,one,baseline2_matched_0.650,0.65,0.15100000000000002,0.15100000000000002,-0.02516666666666667,1.000310942609395,-0.00031094260939501517,-149.0
0.5499999999999999,0.54975,10,2,one,baseline2_matched_0.800,0.8,0.21850000000000014,0.21850000000000014,-0.036416666666666764,1.00108097470696,-0.0010809747069600029,-235.5
0.5499999999999999,0.54975,10,2,one,baseline2_matched_0.950,0.95,0.32499999999999996,0.32499999999999996,-0.054166666666666696,1.0029643195428655,-0.002964319542865468,-316.5
0.5499999999999999,0.54975,10,2,two-2g,baseline2_all_hdv_yield,1.0,0.33325000000000005,0.3365,-0.0555416666666666,1.003729497584304,-0.0037294975843040756,-348.0
0.5499999999999999,0.54975,10,2,two-2g,baseline2_matched_0.050,0.05,0.008500000000000063,0.01100000000000001,-0.0014166666666666217,1.0004340613982468,-0.0004340613982467545,-9.5
0.5499999999999999,0.54975,10,2,two-2g,baseline2_matched_0.200,0.2,0.06125000000000003,0.0675,-0.010208333333333375,1.0017431618039228,-0.0017431618039227548,-45.0
0.5499999999999999,0.54975,10,2,two-2g,baseline2_matched_0.350,0.35,0.07850000000000001,0.062000000000000055,-0.013083333333333336,1.0025476554598218,-0.0025476554598218293,-78.5
0.5499999999999999,0.54975,10,2,two-2g,baseline2_matched_0.500,0.5,0.07650000000000001,0.07250000000000001,-0.012750000000000039,1.0020394522803588,-0.0020394522803588444,-138.0
0.5499999999999999,0.54975,10,2,two-2g,baseline2_matched_0.650,0.65,0.17075000000000007,0.16949999999999998,-0.028458333333333252,1.0026751903894557,-0.0026751903894557394,-186.5
0.5499999999999999,0.54975,10,2,two-2g,baseline2_matched_0.800,0.8,0.2197500000000001,0.22199999999999998,-0.03662499999999991,1.0032414897407704,-0.0032414897407704313,-235.75
0.5499999999999999,0.54975,10,2,two-2g,baseline2_matched_0.950,0.95,0.31575,0.32000000000000006,-0.05262499999999992,1.0037001728499426,-0.003700172849942618,-316.0
0.5499999999999999,0.54975,10,2,two-g,baseline2_all_hdv_yield,1.0,0.33325000000000005,0.3365,-0.0555416666666666,1.003729497584304,-0.0037294975843040756,-348.0
0.5499999999999999,0.54975,10,2,two-g,baseline2_matched_0.050,0.05,0.02024999999999999,0.019000000000000017,-0.003374999999999906,1.0003599196170314,-0.0003599196170314123,-24.5
0.5499999999999999,0.54975,10,2,two-g,baseline2_matched_0.200,0.2,0.041000000000000036,0.041000000000000036,-0.006833333333333247,1.001721306577373,-0.0017213065773729053,-58.0
