requested_density,effective_density_mean,priority_scenario,mode,runs,controller_fraction,flow_all_mean,flow_all_std,flow_all_sem,flow_background_mean,flow_background_std,flow_background_sem,mean_speed_all_mean,mean_speed_all_std,mean_speed_all_sem,mean_speed_background_mean,mean_speed_background_std,mean_speed_background_sem,mean_speed_priority_mean,mean_speed_priority_std,mean_speed_priority_sem,worst_priority_mean_speed_mean,worst_priority_mean_speed_std,worst_priority_mean_speed_sem,mean_priority_time_loss_mean,mean_priority_time_loss_std,mean_priority_time_loss_sem,stopped_fraction_all_mean,stopped_fraction_all_std,stopped_fraction_all_sem,stopped_fraction_priority_mean,stopped_fraction_priority_std,stopped_fraction_priority_sem,lane_change_rate_all_mean,lane_change_rate_all_std,lane_change_rate_all_sem,lane_change_rate_priority_mean,lane_change_rate_priority_std,lane_change_rate_priority_sem,rule_requests_mean,rule_requests_std,rule_requests_sem,rule_applied_mean,rule_applied_std,rule_applied_sem
0.25,0.25,two-g,baseline2_matched_0.200,10,0.2,0.7698987374999999,0.0006991229213819482,0.00022108207959977888,0.7682938874999999,0.0006892132905678578,0.00021794837918538747,3.0795949499999997,0.002796491685527793,0.0008843283183991155,3.0793342184368724,0.0027623779181077265,0.00087354059793745,3.2097,0.0360406406405017,0.011397051275561511,3.1975000000000002,0.03799342048302573,0.012014574482685598,0.46505,0.006006773440083598,0.0018995085459269127,0.016056749999999925,0.0004419020284834293,0.00013974169126562393,0.014025000000000001,0.0026937427494101956,0.000851836251870041,0.04220085,0.00026522716154689325,8.387219278296104e-05,0.04485,0.0037009758472897696,0.0011703513242707177,566.7,66.93786505243335,21.167611527467567,566.7,66.93786505243335,21.167611527467567
0.25,0.25,two-g,baseline2_matched_0.350,10,0.35,0.7694750124999999,0.0008485081770746199,0.0002683218452833266,0.7678437874999995,0.0008471600146673984,0.00026789551889706305,3.0779000499999998,0.0033940327082984797,0.0010732873811333064,3.077530210420842,0.003395430920510413,0.0010737295346575034,3.26245,0.0300859417151747,0.009514010137102487,3.2445,0.03375730373645907,0.010674996747332306,0.4562583333333333,0.005014323619195789,0.0015856683561837497,0.015927949999999934,0.00045645843488512593,0.00014434483114326565,0.012525,0.0023107538452490635,0.0007307245262979294,0.042578450000000004,0.00016385756857032195,5.181631285394375e-05,0.0446,0.003080404013906112,0.0009741092797468303,1046.5,79.60073980672402,25.17196412236792,1045.9,79.31435347190738,25.081400811491104
0.25,0.25,two-g,baseline2_matched_0.500,10,0.5,0.7676073375000002,0.0010458088078962305,0.00033071378300175735,0.7659219874999998,0.0010422897327421131,0.00032960095372732546,3.070429350000001,0.004183235231584922,0.0013228551320070294,3.0698276052104214,0.004177513958884919,0.0013210459067223344,3.3707000000000003,0.03321788340303723,0.010504417060350262,3.3438499999999998,0.03426615596247182,0.010835909949997013,0.43821666666666664,0.0055363139005062045,0.0017507361767250434,0.016349099999999943,0.0004936931570655403,0.00015611948415663568,0.010875,0.002270737765573119,0.0007180703308172536,0.0428797,0.00023927555012764946,7.56655726793165e-05,0.04115,0.003771604433129222,0.0011926860441876562,1580.9,63.696240949612644,20.142519979166238,1580.3,63.62223580548619,20.119117497765373
0.25,0.25,two-g,baseline2_matched_0.650,10,0.65,0.7669191874999998,0.001615861872545615,0.0005109803901468844,0.7651798875000002,0.001629672398539543,0.0005153476619294616,3.067676749999999,0.00646344749018246,0.0020439215605875375,3.066853256513027,0.006531753100362298,0.0020655216911011245,3.4786,0.047561685093033566,0.015040325424966347,3.4445,0.047174616526734416,0.014917923596950225,0.42023333333333335,0.007926947515505595,0.002506720904161058,0.016578949999999943,0.000519201547784888,0.00016418594556849965,0.010100000000000001,0.001420093893609386,0.0004490731195102492,0.04328625,0.00037209379417919175,0.00011766638928201489,0.038875,0.0030328067308463074,0.0009590576972563572,2201.5,146.49478564857597,46.325718798764704,2199.5,147.8672452648734,46.75972863717477
0.25,0.25,two-g,baseline2_matched_0.800,10,0.8,0.7652131999999996,0.0012423957691577701,0.0003928800385895327,0.7633934874999999,0.0012461911894763827,0.0003940802558779825,3.0608527999999984,0.0049695830766310805,0.0015715201543581307,3.0596933366733454,0.004994754266439119,0.0015794799834791126,3.639425,0.032876462789593976,0.010396450382489002,3.6148499999999997,0.03553718709558578,0.011237845285759492,0.39342916666666666,0.00547941046493232,0.0017327417304148307,0.018105399999999973,0.004333424593910841,0.0013703491785348485,0.008125,0.002582661202885289,0.0008167091825667743,0.04391165,0.00036815546610395817,0.00011642098059294239,0.034499999999999996,0.0030956959368344515,0.0009789450103725608,3142.2,116.24571676697025,36.76012332224508,3137.6,113.26291930234224,35.81687994352507
0.25,0.25,two-g,baseline2_matched_0.950,10,0.95,0.7624501124999998,0.0011184980682349965,0.0003537001454121017,0.7604954250000003,0.0011227184877687065,0.0003550347592529006,3.0498004499999993,0.004473992272939986,0.0014148005816484069,3.0480778557114236,0.004499873698472366,0.0014229850070258422,3.909375,0.02977584078484512,0.009415947612664623,3.8741999999999996,0.03963948648619065,0.012535106257582706,0.3484375,0.004962640130807518,0.0015693246021107699,0.01792544999999998,0.0006077198481939749,0.00019217788995847253,0.005375,0.0014397627119309162,0.00045529294598825777,0.04451475,0.00015881020293279487,5.0220195694118405e-05,0.023975,0.002517852921306829,0.0007962150044638277,4089.4,158.57994829107494,50.1473827831523,4084.4,158.79770499321177,50.21624349860422
0.3,0.3,one,baseline1_hdv,10,0.0,0.7333107375000002,0.006998020799674063,0.0022129684840202944,0.7326974000000002,0.006993330935414341,0.0022114854187225206,2.4443691249999997,0.023326735998914664,0.007376561613401336,2.4443616346955808,0.023330545239080173,0.007377766200909097,2.45335,0.03575771090113142,0.01130758103614072,2.45335,0.03575771090113142,0.01130758103614072,0.5911083333333333,0.005959618483521906,0.0018845968393567877,0.05667350000000002,0.06783038345835916,0.021449850629102395,0.05500000000000001,0.06686470585360328,0.02114447655745795,0.04436891666666667,0.00468865674287094,0.001482683447417861,0.04445,0.003546907886533785,0.0011216307572260828,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.3,one,baseline2_all_hdv_yield,10,1.0,0.7271342500000004,0.005689486992044304,0.001799173761276029,0.726277525,0.005678072872720066,0.0017955642998210757,2.4237808333333333,0.018964956640145806,0.005997245870919504,2.422944203502919,0.01894269515502992,0.00599020617121309,3.4269,0.0813609242818688,0.02572858332672047,3.4269,0.0813609242818688,0.02572858332672047,0.42885,0.013560154046978143,0.004288097221120082,0.07143133333333333,0.0562637752631262,0.017792167959131827,0.04285,0.06469073864678518,0.020457007764251998,0.044811666666666666,0.0041248538086702214,0.0013043933050618296,0.011949999999999999,0.003975270780434683,0.0012570909982088717,2778.2,417.59225195025937,132.05426494017104,2778.2,417.59225195025937,132.05426494017104
0.3,0.3,one,baseline2_matched_0.050,10,0.05,0.7330030750000003,0.007354889386867374,0.0023258202401100206,0.7323813000000003,0.007347362557833356,0.0023234400477794024,2.4433435833333355,0.02451629795622405,0.007752734133699901,2.4433070892410327,0.024511634888517306,0.007751259542216211,2.4871000000000003,0.04449581753128914,0.014070812975012417,2.4871000000000003,0.04449581753128914,0.014070812975012417,0.5854833333333334,0.007415969588548147,0.002345135495835389,0.05656141666666674,0.06727858356453892,0.02127535618139129,0.0509,0.06745278183868904,0.02133044251246977,0.044353333333333335,0.004857565913596877,0.001536097217136281,0.04815,0.004014210867516663,0.0012694049349553074,87.0,30.25447625283461,9.567305437443363,87.0,30.25447625283461,9.567305437443363
0.3,0.3,one,baseline2_matched_0.200,10,0.2,0.7321821250000004,0.006970397090852443,0.002204233100290534,0.7315427624999998,0.0069575708707634385,0.0022001770933653478,2.440607083333334,0.02323465696950977,0.007347443667635628,2.4405096330275233,0.023211245607220217,0.007340040344839391,2.5574500000000002,0.06676719503868155,0.02111364093029277,2.5574500000000002,0.06676719503868155,0.02111364093029277,0.5737583333333334,0.01112786583978029,0.003518940155048805,0.06317045833333326,0.06747824263813647,0.021338493924200036,0.0593,0.07002348812283553,0.022143371217790864,0.04398908333333333,0.004782770456622473,0.0015124448168690563,0.04065,0.005380262281917326,0.0017013883219953705,352.8,51.3891471464982,16.250675199647688,352.8,51.3891471464982,16.250675199647688
0.3,0.3,one,baseline2_matched_0.350,10,0.35,0.7324635124999999,0.006318217920902281,0.0019979959383344785,0.7318036749999998,0.006311082266867103,0.0019957394463998653,2.4415450416666675,0.02106072640300689,0.006659986461114703,2.4413800667222683,0.02105448629480609,0.006658013165638661,2.63935,0.04895465589025563,0.015480821468298574,2.63935,0.04895465589025563,0.015480821468298574,0.5601083333333333,0.008159109315042613,0.002580136911383098,0.054908749999999965,0.05911004746164733,0.018692238257945994,0.044700000000000004,0.06237796975784889,0.019725646025190433,0.04478975,0.004200941368268501,0.0013284543040552666,0.039850000000000003,0.004824992803679148,0.0015257966953547762,635.6,66.01212009926662,20.87486526902629,635.6,66.01212009926662,20.87486526902629
0.3,0.3,one,baseline2_matched_0.500,10,0.5,0.7312808999999995,0.006987298358946543,0.0022095777505427828,0.7305955499999996,0.006975125977606467,0.0022057285055845054,2.437602999999999,0.023290994529823267,0.007365259168476404,2.4373496246872404,0.02326981143488381,0.0073585604856863775,2.7414,0.060363160214746164,0.01908850730442565,2.7414,0.060363160214746164,0.01908850730442565,0.5431,0.010060526702457702,0.003181417884070944,0.06496087499999982,0.06986617170936764,0.02209362339980213,0.053849999999999995,0.07284002638964682,0.023034038821805533,0.04424575,0.005038094896405306,0.0015931854940710822,0.0382,0.0047387293186629195,0.0014985177861992676,993.5,119.16491840209424,37.68325593387304,993.5,119.16491840209424,37.68325593387304
0.3,0.3,one,baseline2_matched_0.650,10,0.65,0.7309030249999996,0.005857315678206077,0.0018522458517745077,0.7301954875000002,0.005851001365640744,0.0018502490908180404,2.4363434166666673,0.019524385594021247,0.006174152839248672,2.4360149708090066,0.019519604222320998,0.006172640836757406,2.83015,0.04191529156127471,0.01325477901236632,2.83015,0.04191529156127471,0.01325477901236632,0.5283083333333334,0.006985881926879117,0.0022091298353943863,0.06524612499999999,0.060141972689426164,0.019018561667422912,0.047,0.06220977057951231,0.019672456774779187,0.044429916666666666,0.004297663958657449,0.001359040672737325,0.03355,0.005644318677513995,0.0017848902860773638,1329.1,130.2932163323257,41.20233272791994,1329.1,130.2932163323257,41.20233272791994
0.3,0.3,one,baseline2_matched_0.800,10,0.8,0.730825475,0.006341338465773172,0.0020053072965880926,0.7300824375000001,0.006332695575413595,0.0020025741746777554,2.4360849166666663,0.021137794885914298,0.006684357655294819,2.4356378231859876,0.021126590743667847,0.00668081459442209,2.97215,0.05642844534846276,0.01784424121234761,2.97215,0.05642844534846276,0.01784424121234761,0.5046416666666667,0.009404740891410442,0.002974040202057929,0.05679174999999999,0.06352006520459243,0.020086808316892142,0.033850000000000005,0.06685891031783937,0.02114264384813046,0.045285208333333334,0.00452672859030935,0.0014314772694780757,0.0328,0.004956477243634501,0.0015673757260678328,1891.9,227.9100456076671,72.0714845753082,1891.9,227.9100456076671,72.0714845753082
0.3,0.3,one,baseline2_matched_0.950,10,0.95,0.7287877125000003,0.005713129526475214,0.001806650187122092,0.7279878000000005,0.005693632642771398,0.0018004847311441441,2.4292923750000006,0.019043765088251088,0.006022167290407092,2.4286498748957466,0.018994604312833112,0.00600662128822101,3.19965,0.09391930638112227,0.029699892442753246,3.19965,0.09391930638112227,0.029699892442753246,0.466725,0.015653217730187064,0.004949982073792214,0.06377862500000024,0.053884437497655265,0.017039755292957457,0.038,0.0626524806638439,0.019812453995740494,0.04524525,0.003852842716547975,0.0012183758450682112,0.020249999999999997,0.0029930474993446624,0.0009464847243000458,2487.5,172.1512577809281,54.439007665051676,2487.5,172.1512577809281,54.439007665051676
0.3,0.3,two-2g,baseline1_hdv,10,0.0,0.7330223250000001,0.006740572705896605,0.0021315562484597555,0.7317927249999994,0.006725521832759031,0.0021267967444708576,2.4434077499999987,0.02246857568631999,0.007105187494865212,2.4433813856427387,0.022455832496691853,0.007101157744477176,2.4592,0.04106461710253463,0.012985772128671361,2.4255,0.04429760465056523,0.014008132558545333,0.5901333333333334,0.006844102850422435,0.002164295354778559,0.056830499999999805,0.06365038626704758,0.020128019455337275,0.05675,0.0687887264665431,0.02175290529765826,0.044365833333333334,0.0045023561133019745,0.0014237700155217367,0.047925,0.0046904897872657655,0.0014832631069518463,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.3,two-2g,baseline2_all_hdv_yield,10,1.0,0.7248059249999999,0.004586724195754359,0.0014504495457587786,0.723114325,0.004557725440956755,0.001441279334311862,2.4160197500000002,0.0152890806525124,0.0048348318191952545,2.4144050918197,0.015217781105028564,0.004812284922576429,3.3832,0.07257742991683656,0.022950998525844844,3.3439500000000004,0.05909852884049754,0.018688595750112204,0.4361333333333334,0.012096238319472779,0.0038251664209741467,0.053368999999999986,0.04442879611639098,0.014049618942703884,0.02265,0.049883363960342535,0.015774504746583963,0.047731125,0.003199461205906684,0.001011758469601409,0.01555,0.0033245718187125657,0.0010513219191940104,5291.6,392.8226062741298,124.22141522297996,5273.0,401.31256867655884,126.90617706706705
0.3,0.3,two-2g,baseline2_matched_0.050,10,0.05,0.7322462500000004,0.0072409642596637245,0.0022897939516412264,0.7310083249999997,0.007223179709709096,0.002284169983139459,2.4408208333333334,0.024136547532212387,0.007632646505470745,2.440762353923206,0.024117461468143645,0.007626610962068233,2.47585,0.04228740947374281,0.013372453028520956,2.4578499999999996,0.04136091149866017,0.01307946864364145,0.5873583333333333,0.00704790157895715,0.0022287421714201642,0.06391737499999985,0.06583046229060963,0.020817420026015172,0.06405,0.06981590872509726,0.022077728848572967,0.043875874999999995,0.004600583772044117,0.0014548323286068287,0.043875,0.004813537045550692,0.0015221740665537855,193.8,40.01610786781854,12.654204395729067,193.8,40.01610786781854,12.654204395729067
0.3,0.3,two-2g,baseline2_matched_0.200,10,0.2,0.7323522374999996,0.005943455594546032,0.0018794856850835688,0.7310746624999995,0.005926521466646007,0.0018741306436483006,2.441174125,0.019811518648487746,0.006264952283612204,2.440983848080133,0.019788051641556937,0.006257531364435373,2.5551500000000003,0.04095190268269998,0.012950128699489166,2.53585,0.043535458090056996,0.013767120654338397,0.5741416666666667,0.006825317113783329,0.002158354783248194,0.05786116666666643,0.06434697585234665,0.020348300423726998,0.05155,0.06869910237162248,0.02172456367034023,0.044605,0.004531963756045618,0.0014331327742435835,0.04415,0.0038246277959793403,0.0012094535037684494,694.0,129.8546195644276,41.063636251825315,694.0,129.8546195644276,41.063636251825315
0.3,0.3,two-2g,baseline2_matched_0.350,10,0.35,0.731654925,0.00685887999294638,0.0021689682975470186,0.7303501124999996,0.006832569373059003,0.0021606481489975155,2.43884975,0.022862933309820897,0.007229894325156612,2.438564649415693,0.022813253332420444,0.0072141841368875,2.6096250000000003,0.07213049998286285,0.022809666871258284,2.59235,0.0658820705672054,0.020833739996031032,0.5650625,0.01202174999714381,0.003801611145209715,0.06000529166666674,0.06455751839416832,0.020414879821378767,0.05305,0.06788980041213849,0.021468639919659558,0.04458516666666666,0.004598353151427902,0.0014541269444325318,0.040999999999999995,0.003921096785339531,0.0012399596767637246,1195.2,186.53971873750282,58.9890385297698,1194.6,186.72868017527463,59.04879338309971
0.3,0.3,two-2g,baseline2_matched_0.500,10,0.5,0.7314047874999999,0.005413096215573875,0.001711771323485126,0.7300523625,0.005395822461523203,0.0017063088828309578,2.438015958333332,0.01804365405191396,0.005705904411617417,2.4375704924874797,0.018016101707926502,0.005697191595429736,2.70485,0.05263292695642144,0.01664399291035656,2.6881,0.05955380387141999,0.018832566356064055,0.5491916666666666,0.008772154492736923,0.002773998818392765,0.05876729166666639,0.05533430009657456,0.01749824210364507,0.046525,0.0557235799380398,0.017621343198267015,0.045047624999999994,0.003927709492029783,0.0012420507982277074,0.038274999999999997,0.0034104618455569912,0.0010784827305061495,1782.6,114.23387316281357,36.12392251372735,1779.4,115.8257311654021,36.62731221370195
0.3,0.3,two-2g,baseline2_matched_0.650,10,0.65,0.7299657,0.005289670130310305,0.0016727405682740236,0.7285524250000002,0.005272827603027091,0.0016674144934971753,2.433219,0.017632233767702316,0.005575801894247156,2.4325623539232053,0.017605434400760667,0.005567327190308533,2.82655,0.04474787394080556,0.014150520210304019,2.7997,0.03235411703151372,0.010231270150322911,0.5289083333333333,0.007457978990134225,0.002358420035050659,0.05923520833333318,0.05646546693051312,0.0178559484645338,0.043375,0.05826904195196622,0.01842628896441169,0.04541141666666666,0.0040832178044881325,0.0012912268444734598,0.037575000000000004,0.003120385481884499,0.0009867525300477093,2633.8,279.41319462998405,88.35821033346778,2631.0,280.0261892514103,88.55205625318175
0.3,0.3,two-2g,baseline2_matched_0.800,10,0.8,0.7279758125000002,0.0053760524968406295,0.0017000570710651558,0.7265075999999996,0.005346878073996953,0.0016908313085044694,2.426586041666668,0.0179201749894671,0.005666856903549992,2.4257348914858095,0.017852681382296388,0.00564551355093398,2.936425,0.06789248547028852,0.021469489009599965,2.90745,0.05975712416849472,0.018896861879393878,0.5105958333333332,0.011315414245048066,0.0035782481682666545,0.060466416666666724,0.05583202960203965,0.01765563799323896,0.040799999999999996,0.060486890223327636,0.019127634168628612,0.045945625000000004,0.00411078829086337,0.0012999453977878986,0.031425,0.003270342319832725,0.0010341730459110258,3601.2,396.2431352367158,125.30308145541441,3590.8,405.90880201783693,128.35963366867153
0.3,0.3,two-2g,baseline2_matched_0.950,10,0.95,0.7260858374999997,0.0046872629595809305,0.0014822426944417497,0.724500425,0.004640202704205117,0.0014673609350160744,2.4202861249999996,0.015624209865268171,0.004940808981471994,2.4190331385642736,0.015493164287828888,0.0048993687312719825,3.170825,0.10594128680547542,0.0335015764554446,3.14875,0.10823027148938816,0.034225416968485085,0.47152916666666667,0.017656881134245878,0.005583596075907425,0.05990145833333345,0.05119081566435137,0.016187957278117587,0.0357,0.06109916802488667,0.019321253409997328,0.046861208333333335,0.00390680037579497,0.0012354387551113861,0.0247,0.0022601622360647776,0.0007147260547463856,4825.1,533.429251791338,168.68514062200813,4814.5,533.1823223709587,168.60705468303777
0.3,0.3,two-g,baseline1_hdv,10,0.0,0.7326783375000001,0.006794171483923368,0.0021485056702963915,0.7314530249999994,0.006778613401363123,0.0021435857726048594,2.442261124999999,0.02264723827974244,0.007161685567653967,2.4422471619365616,0.022633099837607487,0.007157214599682673,2.450625,0.04072387540224751,0.012878020142000788,2.41925,0.04198362776130716,0.01327638881624066,0.5915625,0.0067873125670412475,0.002146336690333463,0.06084654166666649,0.06414090406975961,0.02028313480428039,0.063125,0.06988057769429849,0.022098178972234088,0.04409216666666667,0.0045426583304041404,0.0014365146956014801,0.047075,0.004484618774829759,0.0014181609766015831,0.0,0.0,0.0,0.0,0.0,0.0
