requested_density,priority_scenario,treatment_mode,controller_fraction,pairs,priority_speed_delta_mean,priority_speed_delta_ci95_low,priority_speed_delta_ci95_high,worst_priority_speed_delta_mean,worst_priority_speed_delta_ci95_low,worst_priority_speed_delta_ci95_high,background_flow_ratio_mean,background_flow_loss_mean,sufficient_pairs,pv_improvement_significant,background_flow_acceptable,effective_region
0.05,two-2g,baseline2_matched_0.500,0.5,10,0.14275000000000002,0.0996500000000001,0.18652625000000012,0.11900000000000004,0.06019999999999994,0.18565000000000015,0.9991360567183261,0.0008639432816739401,True,True,True,True
0.05,two-2g,baseline2_matched_0.650,0.65,10,0.20412499999999997,0.12964812499999984,0.2699506249999998,0.1936,0.05309625000000009,0.3085012499999999,0.995874233019547,0.004125766980452972,True,True,True,True
0.05,two-2g,baseline2_matched_0.800,0.8,10,0.3489,0.2770243749999998,0.41663249999999996,0.36350000000000005,0.28809124999999997,0.4352012500000001,0.9939039497037537,0.006096050296246269,True,True,True,True
0.05,two-2g,baseline2_matched_0.950,0.95,10,0.501075,0.4418000000000001,0.5671518750000003,0.5260500000000001,0.4637975000000003,0.5945000000000003,0.9869154639519542,0.013084536048045825,True,True,True,True
0.05,two-g,baseline2_all_hdv_yield,1.0,10,0.5844000000000001,0.5303000000000002,0.6496525000000001,0.6081,0.5458500000000001,0.6763012499999996,0.9743611082102145,0.025638891789785512,True,True,True,True
0.05,two-g,baseline2_matched_0.050,0.05,10,0.01905000000000001,-0.04787500000000007,0.07812625000000006,0.018299999999999983,-0.06064999999999996,0.09640125000000002,0.9997061029919582,0.0002938970080418324,True,False,True,False
0.05,two-g,baseline2_matched_0.200,0.2,10,0.1048,0.02237312500000009,0.16730062499999984,0.0992,0.011896250000000008,0.16620124999999972,0.9993673315568185,0.0006326684431815499,True,True,True,True
0.05,two-g,baseline2_matched_0.350,0.35,10,0.0996500000000001,0.024294999999999903,0.1651031250000002,0.11919999999999993,0.047250000000000104,0.17965124999999998,0.9982897094619883,0.0017102905380117495,True,True,True,True
0.05,two-g,baseline2_matched_0.500,0.5,10,0.21147500000000016,0.16187250000000022,0.26347500000000024,0.217,0.1536462499999997,0.28065375000000004,0.9977863436884571,0.002213656311542911,True,True,True,True
0.05,two-g,baseline2_matched_0.650,0.65,10,0.29152500000000003,0.21572374999999996,0.37075125000000003,0.29414999999999986,0.22254874999999988,0.3726074999999997,0.9959636741152857,0.004036325884714254,True,True,True,True
