requested_density,effective_density,density_index,run_index,comparison_mode,pv_speed_graph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,2,graph_noop,5.4295,2.414,3.0155,2.2491714995857497,-0.5025833333333333,-0.012168374999999787,0.9829784518219391,-0.038048333333335904,-0.1955
0.3,0.3,0,2,left_if_safe,5.4295,5.1775,0.2519999999999998,1.0486721390632545,-0.04200000000000004,0.0001813749999982628,1.0002581737065979,0.0008145833333306207,-0.0015000000000000013
0.3,0.3,0,3,baseline1_hdv,5.7985,2.4385,3.36,2.377896247693254,-0.5599999999999999,-0.024299875000001303,0.9668964683424547,-0.07819958333333465,-0.0325
0.3,0.3,0,3,baseline2_matched,5.7985,3.618,2.1805,1.6026810392482034,-0.3634166666666666,-0.01899449999999958,0.9739355596523649,-0.061497916666669816,-0.006
0.3,0.3,0,3,graph_noop,5.7985,2.568,3.2304999999999997,2.2579828660436134,-0.5384166666666667,-0.027363875000001703,0.9628773571227356,-0.08852083333334138,-0.0455
0.3,0.3,0,3,left_if_safe,5.7985,5.8615,-0.06300000000000061,0.9892518979783331,0.010500000000000176,0.0037452499999972577,1.0053047983974732,0.012431666666666175,0.0
0.3,0.3,0,4,baseline1_hdv,5.8755,2.4535,3.4219999999999997,2.3947422050132463,-0.5703333333333334,-0.027750000000000385,0.9621769193339316,-0.08964833333332889,-0.0365
0.3,0.3,0,4,baseline2_matched,5.8755,3.666,2.2095,1.6027004909983633,-0.36824999999999997,-0.022496625000000492,0.9691160988467415,-0.0731475000000037,-0.002
0.3,0.3,0,4,graph_noop,5.8755,2.5135,3.3619999999999997,2.337577083747762,-0.5603333333333333,-0.03044337500000105,0.9586576356833035,-0.09867625000000402,-0.04
0.3,0.3,0,4,left_if_safe,5.8755,5.575,0.30049999999999955,1.0539013452914798,-0.05008333333333326,-0.0001648750000031729,0.999766497053946,-0.0002991666666667392,-0.008499999999999999
0.3,0.3,0,5,baseline1_hdv,5.85,2.4785,3.3714999999999997,2.3602985676820656,-0.5619166666666667,-0.0226277500000015,0.9692181702273154,-0.07261625000000338,-0.025
0.3,0.3,0,5,baseline2_matched,5.85,3.632,2.2179999999999995,1.6106828193832599,-0.3696666666666666,-0.015679624999998865,0.9784665717461083,-0.050417083333333945,-0.003
0.3,0.3,0,5,graph_noop,5.85,2.4835,3.3665,2.3555466076102274,-0.5610833333333333,-0.024270250000002047,0.9670573895557567,-0.07809541666666098,-0.054
