requested_density,effective_density,density_index,run_index,comparison_mode,pv_speed_graph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.25,0.25,4,5,baseline2_matched,4.0705,3.9095,0.16100000000000003,1.0411817367949865,-0.026833333333333376,-0.010750250000000294,0.9859930295769843,-0.04283999999999333,0.010499999999999999
0.25,0.25,4,6,baseline1_hdv,4.1945,3.128,1.0664999999999996,1.3409526854219946,-0.17774999999999996,-0.015446125000000976,0.9799565844134366,-0.06071800000000138,-0.009500000000000001
0.25,0.25,4,6,baseline2_matched,4.1945,3.9415,0.25299999999999967,1.0641887606241278,-0.042166666666666575,-0.00944337500000092,0.9876497557235548,-0.0375205000000034,0.0014999999999999996
0.25,0.25,4,7,baseline1_hdv,4.033,3.075,0.9580000000000002,1.3115447154471545,-0.15966666666666662,-0.01456699999999933,0.9810765804496221,-0.05730999999999753,0.009000000000000001
0.25,0.25,4,7,baseline2_matched,4.033,3.984,0.04900000000000038,1.0122991967871486,-0.008166666666666655,-0.011189499999996966,0.9854001003054054,-0.04470899999999434,0.017
0.25,0.25,4,8,baseline1_hdv,4.0605,3.178,0.8825000000000003,1.2776903713027061,-0.14708333333333345,-0.016584875000000388,0.9784988527395285,-0.06545700000000432,-0.005000000000000001
0.25,0.25,4,8,baseline2_matched,4.0605,3.905,0.15550000000000042,1.0398207426376442,-0.02591666666666681,-0.012846500000002314,0.9832642878545065,-0.05123049999999374,0.009999999999999998
0.25,0.25,4,9,baseline1_hdv,3.98,3.097,0.883,1.2851146270584437,-0.14716666666666667,-0.014874124999999405,0.98068953452387,-0.05861350000000298,-0.005500000000000001
0.25,0.25,4,9,baseline2_matched,3.98,3.9695,0.010499999999999954,1.002645169416803,-0.0017500000000000293,-0.009619000000001598,0.987426262953715,-0.03846550000000404,0.008
0.25,0.25,4,10,baseline1_hdv,4.0295,3.1175,0.9119999999999995,1.2925421010425018,-0.1519999999999999,-0.01352475000000053,0.9824412729241364,-0.053186999999991436,-0.0075000000000000015
0.25,0.25,4,10,baseline2_matched,4.0295,4.021,0.00849999999999973,1.0021139020144243,-0.0014166666666666217,-0.00981362500000027,0.987197619193216,-0.03924599999999856,0.006999999999999999
0.25,0.25,4,11,baseline1_hdv,3.875,3.185,0.69,1.2166405023547882,-0.11499999999999999,-0.020593999999999335,0.9732827547018547,-0.0816859999999986,0.040999999999999995
0.25,0.25,4,11,baseline2_matched,3.875,3.993,-0.11799999999999988,0.9704482844978713,0.01966666666666661,-0.015358249999998685,0.979938993746224,-0.06155099999998859,0.0435
0.25,0.25,4,12,baseline1_hdv,4.1395,3.0955,1.044,1.3372637699886933,-0.17399999999999993,-0.011325875000000152,0.9852705410495861,-0.04425949999999235,-0.0075
0.25,0.25,4,12,baseline2_matched,4.1395,3.961,0.1785000000000001,1.0450643776824036,-0.029749999999999943,-0.009286124999999368,0.9878911430236796,-0.03696599999999739,-0.0005000000000000004
0.25,0.25,4,13,baseline1_hdv,4.067,3.0755,0.9915000000000003,1.3223866038042595,-0.16525000000000012,-0.01514237499999882,0.9803521525388831,-0.059577999999996134,0.004999999999999999
0.25,0.25,4,13,baseline2_matched,4.067,3.914,0.15300000000000002,1.039090444557997,-0.025500000000000078,-0.009124250000001166,0.9880677383154334,-0.03634399999999571,0.0155
0.25,0.25,4,14,baseline1_hdv,3.943,2.997,0.9460000000000002,1.315648982315649,-0.15766666666666662,-0.013106250000000097,0.9829543570191632,-0.051478999999996056,-0.0045000000000000005
0.25,0.25,4,14,baseline2_matched,3.943,3.96,-0.016999999999999904,0.9957070707070708,0.0028333333333333544,-0.011222999999999317,0.9853678236185864,-0.04490900000000586,0.011500000000000002
0.25,0.25,4,15,baseline1_hdv,4.1,3.0905,1.0094999999999996,1.3266461737582913,-0.1682499999999999,-0.016796125000000273,0.9782042554005977,-0.06617499999999765,-0.019000000000000003
0.25,0.25,4,15,baseline2_matched,4.1,4.0135,0.08650000000000002,1.0215522611187242,-0.014416666666666633,-0.013425125000000482,0.9825021411868547,-0.05361399999999428,-0.0034999999999999996
0.25,0.25,4,16,baseline1_hdv,4.054,3.0655,0.9885000000000002,1.3224596313815038,-0.16475000000000006,-0.0170476249999999,0.9778742821321457,-0.06720200000000531,0.013500000000000002
0.25,0.25,4,16,baseline2_matched,4.054,3.8645,0.18950000000000022,1.04903609781343,-0.03158333333333341,-0.010623250000001083,0.986096400861313,-0.042303500000009375,0.030500000000000003
0.25,0.25,4,17,baseline1_hdv,4.176,3.1515,1.0245000000000002,1.3250832936696813,-0.17075000000000007,-0.016127875000000236,0.979112575452488,-0.06348700000000296,-0.019999999999999997
0.25,0.25,4,17,baseline2_matched,4.176,4.0335,0.14250000000000007,1.0353291186314615,-0.02375000000000005,-0.010532124999999337,0.9862601307829045,-0.041986000000007184,-0.001
0.25,0.25,4,18,baseline1_hdv,4.17,3.086,1.084,1.3512637718729748,-0.18066666666666664,-0.01577312499999961,0.9795517840515426,-0.06200850000000102,-0.0115
0.25,0.25,4,18,baseline2_matched,4.17,3.932,0.238,1.060528992878942,-0.03966666666666663,-0.01017124999999941,0.9867175720302795,-0.040446999999992794,0.007
0.25,0.25,4,19,baseline1_hdv,3.925,3.0985,0.8264999999999998,1.2667419719218975,-0.13775000000000004,-0.013325124999999827,0.9826987771753245,-0.05247399999999214,-0.0045000000000000005
0.25,0.25,4,19,baseline2_matched,3.925,3.809,0.11599999999999966,1.0304541874507744,-0.019333333333333313,-0.009816500000000561,0.9871960150017854,-0.03915000000000246,-0.002999999999999999
