requested_density,comparison_mode,runs,pv_speed_win_rate,pv_speed_delta_mean,pv_speed_delta_std,pv_speed_delta_ci_low,pv_speed_delta_ci_high,priority_time_loss_delta_mean,priority_time_loss_delta_std,priority_time_loss_delta_ci_low,priority_time_loss_delta_ci_high,background_flow_delta_mean,background_flow_delta_std,background_flow_delta_ci_low,background_flow_delta_ci_high,background_flow_ratio_mean,background_flow_ratio_std,background_flow_ratio_ci_low,background_flow_ratio_ci_high,all_speed_delta_mean,all_speed_delta_std,all_speed_delta_ci_low,all_speed_delta_ci_high,priority_stopped_delta_mean,priority_stopped_delta_std,priority_stopped_delta_ci_low,priority_stopped_delta_ci_high,graph_ppo_speed_advantage
0.3,baseline1_hdv,20,1.0,0.9882249999999999,0.13726899015398472,0.9321237499999999,1.047350625,-0.16470416666666665,0.022878165025664098,-0.1748795833333333,-0.1554541666666667,-0.012517687499999925,0.00607807353462189,-0.015028290937499866,-0.009912304687500205,0.9829486563573362,0.00826173746927264,0.9794698069977988,0.986473989064541,-0.04090210416666684,0.02030885830849401,-0.04920898124999863,-0.03214312604166714,-0.010675,0.05697027733827527,-0.035175,0.012999999999999998,True
0.3,baseline2_matched,20,0.95,0.19672499999999998,0.15683552187260594,0.13059937499999996,0.2653,-0.03278749999999998,0.02613925364543431,-0.04452510416666665,-0.021933229166666648,-0.010102849999999792,0.004535233437023072,-0.012120729062499976,-0.008208255156250097,0.9861694814862882,0.006196965852805433,0.9834465421531075,0.988746349426308,-0.03351222916666787,0.01518013880414747,-0.04025869114583416,-0.027342316145834874,0.032575,0.0421555000469752,0.015725,0.05159999999999999,True
0.35,baseline1_hdv,20,1.0,0.6391249999999999,0.14946165456133062,0.582049375,0.71040125,-0.10652083333333336,0.024910275760221763,-0.11799197916666668,-0.09691250000000004,-0.0035386187499999054,0.004864043103728813,-0.005617188593750611,-0.0015007500000000329,0.9946785559353465,0.007291603649684693,0.9915438502434065,0.9976828639403877,-0.009653821428571518,0.013925280881362783,-0.015808357142857277,-0.003959352678571296,-0.05385000000000001,0.03642082255783735,-0.070425,-0.0402,True
0.35,baseline2_matched,20,0.95,0.1789,0.1450185650547071,0.12117312500000002,0.24354999999999993,-0.029816666666666686,0.02416976084245121,-0.040675312500000026,-0.020145729166666678,-0.005401949999999406,0.004541118362717769,-0.007347504374999791,-0.003465875312498994,0.9918953842266331,0.006786652239405955,0.9890222794199739,0.9947544682117766,-0.015306357142857042,0.013018636230695069,-0.02082044866071444,-0.009608598660715301,-0.01675,0.03441675693459127,-0.031724999999999996,-0.002650000000000005,True
0.4,baseline1_hdv,20,1.0,0.43447499999999994,0.07429253610594157,0.40447500000000003,0.46849999999999986,-0.07241250000000002,0.012382089350990244,-0.07797520833333335,-0.06741666666666671,0.0004874875000003498,0.0019666241784783633,-0.0003546414062498992,0.001281908281250151,1.0008106121089155,0.0032627595654415695,0.9994380192645634,1.002213445810012,0.0014902656250004754,0.004937857907034188,-0.0006363839843753151,0.0036103472656252708,-0.04544999999999997,0.024562969561602498,-0.05634999999999997,-0.03524999999999997,True
0.4,baseline2_matched,20,0.8,0.06582499999999995,0.07735330343709683,0.03412499999999995,0.09937562499999994,-0.010970833333333308,0.012892217239516104,-0.016670937499999965,-0.0055707291666666535,-0.0014391062499996,0.0022403402420445636,-0.002389367343749534,-0.00047757187499901133,0.9976298195415362,0.0036996322026359445,0.99606948916253,0.9992262490402957,-0.0035566249999997137,0.005621889173244074,-0.005950684765624702,-0.001193526171874762,-0.0033249999999999972,0.021028974372467483,-0.011699999999999992,0.005950000000000002,True
0.5,baseline1_hdv,20,1.0,0.390875,0.05197567118120594,0.36812374999999997,0.41327499999999995,-0.06514583333333332,0.00866261186353432,-0.06888802083333331,-0.06147083333333334,0.0032129750000000567,0.0013457681097659383,0.0026261495312502343,0.003787125312500025,1.0063997317261821,0.0026812498367709313,1.0052218404098452,1.007543354907665,0.006621387500000586,0.002701191489629917,0.005470403437500517,0.00773718718750053,-0.06422499999999999,0.01881941536649964,-0.07162499999999998,-0.05569999999999997,True
0.5,baseline2_matched,20,0.7,0.03665,0.04831151655225642,0.01595000000000004,0.056677500000000006,-0.006108333333333332,0.00805191942537607,-0.009495833333333337,-0.0026249999999999997,0.0015861187499997876,0.001364117202647138,0.0009989118749998964,0.0021721042187496102,1.0031499853133006,0.002709536094984089,1.0019940762961115,1.0042974157977627,0.003190562499999816,0.00273477959863803,0.001981367812500346,0.0043744559375005305,0.05382499999999999,0.01973793768889057,0.04554999999999998,0.062325000000000005,True
0.6,baseline1_hdv,20,1.0,0.39415,0.06651238507542075,0.366275,0.423325,-0.06569166666666666,0.011085397512570115,-0.07046281249999996,-0.06099583333333334,0.0021660750000000563,0.0006113447488722708,0.0018988070312503282,0.0024214575000001196,1.0053911989241446,0.0015223717600402543,1.00472735732975,1.0060419895266104,0.0037743541666660995,0.0010323235350116026,0.0033202221354161846,0.004198993229166141,-0.127025,0.025266721925135155,-0.13820000000000002,-0.116425,True
0.6,baseline2_matched,20,0.95,0.07085000000000001,0.05710196328083927,0.04682437500000003,0.09547624999999998,-0.011808333333333332,0.009516993880139893,-0.015879270833333375,-0.007879062499999966,0.001146212500000124,0.0006169329861297335,0.0008900965625002348,0.0014146253125000468,1.002846085070122,0.001533116526743308,1.0022014715525267,1.003510882351663,0.0019398750000000076,0.0010336896766376584,0.0015012718750002812,0.0023864768229166647,0.044225000000000014,0.021494476034553615,0.035075000000000016,0.05355062499999999,True
0.7,baseline1_hdv,20,1.0,0.40325,0.06242395373572552,0.37634937500000004,0.4288762499999999,-0.06720833333333334,0.010403992289287584,-0.07161260416666668,-0.06263750000000001,0.0009667999999998011,0.0005366450443436454,0.0007343232812495753,0.0011857054687498705,1.0032083070881521,0.00178120914215245,1.002430913391545,1.0039500167893292,0.0015251607142855062,0.000776243542750014,0.001194095535714099,0.0018534752232142588,-0.18672499999999997,0.027985651868883032,-0.19815,-0.174674375,True
0.7,baseline2_matched,20,0.85,0.105925,0.06751067654355437,0.07669937499999997,0.13405,-0.01765416666666666,0.011251779423925728,-0.02229166666666666,-0.012724999999999992,0.0003293874999999752,0.000573327232012709,7.585031249996396e-05,0.0005556628125001484,1.0010910570826632,0.0018984409252242394,1.0002392331394185,1.0018634350193225,0.0005083839285713043,0.0008285444995685034,0.00012972812499967716,0.0008482247767855088,0.00012500000000000567,0.03652788228477703,-0.014825625000000002,0.015900625000000012,True
0.8,baseline1_hdv,20,0.85,0.1863,0.16776662989183266,0.10899937500000002,0.25297562500000004,-0.031049999999999987,0.02796110498197211,-0.04215010416666666,-0.018816041666666658,0.0002509625000000834,0.0001231411798079383,0.00019940562500006588,0.00030355624999998596,1.0012488213161324,0.0006129570807277998,1.000989827279481,1.0015109999712015,0.0003719218749998199,0.00017856916791021414,0.00029215859374993213,0.00044452753906237493,-0.09770000000000001,0.10391069039779965,-0.13937562500000003,-0.050998749999999995,True
0.8,baseline2_matched,20,0.55,-0.046299999999999994,0.18865907708992177,-0.13267562499999996,0.029300624999999983,0.007716666666666666,0.03144317951498696,-0.0046917708333333264,0.02192135416666665,-8.919375000007168e-05,0.00016398525424612584,-0.000162044843749961,-2.2643125000041686e-05,0.9995572184430204,0.0008140692120999996,0.9992002611116136,0.999887631847967,-0.00012596093750008862,0.00023642965223477462,-0.00022925878906244346,-2.711523437498797e-05,0.05752500000000001,0.11779079078916503,0.010598749999999999,0.110325625,False
0.9,baseline1_hdv,20,1.0,0.10142500000000002,0.02708236705428752,0.089574375,0.11262562500000001,-0.016904166666666658,0.004513727842381255,-0.018829166666666654,-0.014958333333333323,1.356250000002085e-05,3.625284698435843e-05,-1.756406249974403e-06,2.948140625004975e-05,1.0001352878698027,0.0003614599941261823,0.9999850550681553,1.000291962632006,4.3243055555529374e-05,3.8300246203456686e-05,2.7269791666640283e-05,5.983368055557986e-05,-0.06374999999999997,0.020647734678855733,-0.07222499999999998,-0.05459937499999997,True
0.9,baseline2_matched,20,0.65,0.020799999999999996,0.043268561578271025,0.002399375000000005,0.03992562499999999,-0.003466666666666668,0.007211426929711839,-0.0065374999999999964,-0.00041656249999999463,-6.471249999996722e-05,4.728916331572299e-05,-8.532499999997275e-05,-4.445546874995628e-05,0.9993555862597787,0.00047078193892003653,0.9991576431593748,0.9995546369552868,-6.612500000005641e-05,5.972966599875455e-05,-9.156979166674304e-05,-4.0804861111152494e-05,-0.007824999999999993,0.03179095990338995,-0.021925624999999987,0.005650624999999996,True
