requested_density,effective_density_mean,mode,runs,av_fraction,flow_all_mean,flow_all_std,flow_all_sem,flow_all_ci95_low,flow_all_ci95_high,flow_background_mean,flow_background_std,flow_background_sem,flow_background_ci95_low,flow_background_ci95_high,mean_speed_all_mean,mean_speed_all_std,mean_speed_all_sem,mean_speed_all_ci95_low,mean_speed_all_ci95_high,mean_speed_background_mean,mean_speed_background_std,mean_speed_background_sem,mean_speed_background_ci95_low,mean_speed_background_ci95_high,mean_speed_priority_mean,mean_speed_priority_std,mean_speed_priority_sem,mean_speed_priority_ci95_low,mean_speed_priority_ci95_high,mean_priority_time_loss_mean,mean_priority_time_loss_std,mean_priority_time_loss_sem,mean_priority_time_loss_ci95_low,mean_priority_time_loss_ci95_high,stopped_fraction_all_mean,stopped_fraction_all_std,stopped_fraction_all_sem,stopped_fraction_all_ci95_low,stopped_fraction_all_ci95_high,stopped_fraction_priority_mean,stopped_fraction_priority_std,stopped_fraction_priority_sem,stopped_fraction_priority_ci95_low,stopped_fraction_priority_ci95_high,lane_change_rate_all_mean,lane_change_rate_all_std,lane_change_rate_all_sem,lane_change_rate_all_ci95_low,lane_change_rate_all_ci95_high,rule_requests_mean,rule_requests_std,rule_requests_sem,rule_requests_ci95_low,rule_requests_ci95_high,rule_applied_mean,rule_applied_std,rule_applied_sem,rule_applied_ci95_low,rule_applied_ci95_high,rule_rejected_mean,rule_rejected_std,rule_rejected_sem,rule_rejected_ci95_low,rule_rejected_ci95_high,active_av_count_mean_mean,active_av_count_mean_std,active_av_count_mean_sem,active_av_count_mean_ci95_low,active_av_count_mean_ci95_high
0.2,0.2,baseline2_matched,20,0.95,0.7822916,0.0016093974183924078,0.0003598722030338094,0.7815862504820537,0.7829969495179463,0.7810590750000003,0.001612237650220807,0.0003605072981778253,0.7803524806955717,0.7817656693044288,3.9114579999999997,0.008046987091963142,0.0017993610151692937,3.907931252410268,3.9149847475897315,3.9101831038798522,0.00807127734778867,0.0018047924814909675,3.90664571061613,3.9137204971435744,4.9301,0.048726303282507946,0.01089553264319589,4.9087447560193365,4.951455243980664,0.17831666666666665,0.00812105054708466,0.0018159221071993156,0.17475745933655598,0.18187587399677732,0.004059093750000019,0.00017333280979751916,3.875839454382944e-05,0.003983127296694113,0.004135060203305925,0.00125,0.0007521897856819185,0.00016819474927657677,0.0009203382914179095,0.0015796617085820906,0.03211140625,0.0002738039086399485,6.122441522240668e-05,0.03199140639616409,0.032231406103835916,1505.1,68.19932087947103,15.249831750581796,1475.2103297688595,1534.9896702311403,1505.1,68.19932087947103,15.249831750581796,1475.2103297688595,1534.9896702311403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,graph_ppo,20,0.95,0.7671763375000002,0.002311915944060508,0.0005169601209184896,0.766163095663,0.7681895793370005,0.7659126375000002,0.002330076457796286,0.0005210209352404415,0.7648914364669289,0.7669338385330714,3.8358816875,0.011559579720301912,0.002584800604592308,3.830815478314999,3.8409478966850013,3.8343561326658318,0.011664963493349344,0.002608365132618255,3.8292437370059,3.8394685283257637,5.0548,0.1257937325859072,0.02812833372055189,4.999668465907718,5.109931534092282,0.1575333333333333,0.020965622097651203,0.004688055620091982,0.14834474431795303,0.16672192234871358,0.006392968750000012,0.0004659934684342201,0.00010419930724898187,0.006188738107792008,0.006597199392208017,0.0025,0.0022183445700744843,0.0004960369256204093,0.001527767625783998,0.0034722323742160024,0.032771812500000004,0.00033688027288129976,7.532871904412652e-05,0.032624168210673515,0.03291945678932649,2963.45,230.12501751050564,51.457518247682,2862.5932642345433,3064.3067357654563,2963.45,230.12501751050564,51.457518247682,2862.5932642345433,3064.3067357654563,0.0,0.0,0.0,0.0,0.0,17.948050000000002,0.6715035936730265,0.15015276825882848,17.653750574212697,18.242349425787307
0.25,0.25,baseline1_hdv,20,0.95,0.7713799562499999,0.0008527202961189649,0.00019067405479157554,0.7710062351026084,0.7717536773973914,0.77060603125,0.0008470895002922242,0.0001894149705679741,0.7702347779076868,0.7709772845923133,3.0855198249999995,0.0034108811844758597,0.0007626962191663022,3.0840249404104334,3.0870147095895657,3.085509634634633,0.003391749750918248,0.0007584183005721182,3.0840231347655114,3.0869961345037544,3.0957,0.04253339245444937,0.009510755684182541,3.0770589188590023,3.1143410811409975,0.48405,0.00708889874240822,0.0015851259473637549,0.48094315314316705,0.4871568468568329,0.015822849999999937,0.0004333982640287844,9.691079796987637e-05,0.01563290483597898,0.016012795164020894,0.017150000000000002,0.00412661451657664,0.0009227390576002799,0.015341431447103454,0.01895856855289655,0.041852975,0.0002120818160770182,4.7422935753982047e-05,0.041760026045922195,0.041945923954077806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.25,baseline2_matched,20,0.95,0.7668432937499998,0.0011468140997558543,0.0002564354284609315,0.7663406803102164,0.7673459071897832,0.7658560999999999,0.00114429323208109,0.00025587174531262603,0.7653545913791872,0.7663576086208127,3.0673731749999993,0.004587256399023417,0.001025741713843726,3.0653627212408656,3.069383628759133,3.0664908908908908,0.004581754683007058,0.0010245114927431782,3.064482848365114,3.0684989334166675,3.948775,0.05768117338575812,0.012897902471250685,3.9234951111563485,3.9740548888436513,0.34187083333333335,0.009613528897626362,0.002149650411875116,0.33765751852605813,0.34608414814060856,0.01701704999999995,0.0008583373907245528,0.00019193007532898975,0.01664086705235513,0.01739323294764477,0.005425,0.00254059151835904,0.0005680935338110218,0.004311536673730397,0.006538463326269603,0.043300624999999995,0.0002607571402362949,5.830706911868009e-05,0.043186343144527385,0.043414906855472606,2124.35,87.21073992287153,19.50091428355955,2086.1282080042233,2162.5717919957765,2124.35,87.21073992287153,19.50091428355955,2086.1282080042233,2162.5717919957765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.25,graph_ppo,20,0.95,0.7563033000000001,0.001742086548774541,0.0003895423945747876,0.7555397969066335,0.7570668030933667,0.755284775,0.0017403765338583226,0.00038916002361526734,0.754522021353714,0.756047528646286,3.0252132000000005,0.006968346195098164,0.0015581695782991504,3.022159187626534,3.028267212373467,3.0241632632632625,0.006968474610042625,0.0015581982927536646,3.0211091946094655,3.0272173319170594,4.0741,0.11852587991880213,0.026503192459141883,4.022153742780081,4.126046257219918,0.3209833333333333,0.01975431331980034,0.00441719874319031,0.3123256237966803,0.3296410428699863,0.022548775000000066,0.002315616028500242,0.0005177874849514631,0.021533911529495197,0.023563638470504935,0.014000000000000002,0.012033943222139791,0.0026908715082077424,0.008725891843912828,0.019274108156087176,0.042790125,0.000384942882810314,8.607584534185974e-05,0.04262141634312995,0.042958833656870046,3744.35,199.0639344532304,44.51204893059855,3657.106384096027,3831.593615903973,3744.35,199.0639344532304,44.51204893059855,3657.106384096027,3831.593615903973,0.0,0.0,0.0,0.0,0.0,23.102275,0.6837164592947332,0.15288364803184915,22.802623049857573,23.401926950142425
0.3,0.3,baseline1_hdv,20,0.95,0.7331299250000002,0.004480440816687872,0.0010018570235278757,0.7311662852338855,0.7350935647661149,0.7325168125,0.004475319801587274,0.0010007119297400016,0.7305554171177095,0.7344782078822905,2.4437664166666653,0.014934802722292062,0.003339523411759396,2.4372209507796168,2.450311882553714,2.443759174311927,0.014930174484028405,0.003338488506222036,2.437215736839732,2.4503026117841222,2.45245,0.044286715365837816,0.009902810605819781,2.433040491212593,2.4718595087874067,0.5912583333333333,0.007381119227639633,0.0016504684343032964,0.5880234152020989,0.5944932514645678,0.05426885416666658,0.03887070309545648,0.008691753445465219,0.03723301741355475,0.07130469091977841,0.054725,0.04111904252161931,0.009194497424804514,0.036703785047383156,0.07274621495261685,0.04446852083333334,0.0027656406212596117,0.0006184160430471241,0.043256425388960976,0.0456806162777057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.3,baseline2_matched,20,0.95,0.7309129624999995,0.0014166343947496045,0.00031676908059243865,0.7302920951020383,0.7315338298979607,0.730101975,0.0014171751232412522,0.0003168899911589082,0.7294808706173285,0.7307230793826714,2.4363765416666663,0.004722114649165018,0.0010558969353080551,2.4343069836734625,2.43844609965987,2.4357030025020863,0.004727856958270678,0.0010571809546588622,2.4336309278309547,2.437775077173218,3.2439500000000003,0.0537121715109439,0.012010406671759814,3.2204096029233513,3.2674903970766493,0.45934166666666665,0.008952028585157317,0.0020017344452933025,0.4554182671538918,0.4632650661794415,0.04058352083333335,0.007478236200826199,0.0016721844496847148,0.03730603931195131,0.04386100235471539,0.011475,0.008772677380426835,0.0019616302967309187,0.0076302046184074,0.015319795381592602,0.046834729166666665,0.0006202906829393573,0.0001387012132862172,0.04656287478862568,0.04710658354470765,2603.2,109.30815927555695,24.442047463551948,2555.293586971438,2651.1064130285617,2603.2,109.30815927555695,24.442047463551948,2555.293586971438,2651.1064130285617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.3,graph_ppo,20,0.95,0.7208592937500001,0.0038367240522030432,0.0008579175791634456,0.7191777752948397,0.7225408122051605,0.7199991250000001,0.003822019971322266,0.0008546296467238383,0.7183240508924214,0.7216741991075788,2.4028643124999984,0.012789080174010696,0.0028597252638782756,2.397259250982797,2.4084693740172,2.401998748957465,0.012750692147862175,0.002851141440279262,2.3964105117345174,2.4075869861804122,3.440675,0.13269685228091574,0.02967191821003756,3.3825180403083266,3.4988319596916737,0.4265541666666667,0.022116142046819283,0.004945319701672925,0.41686134005138775,0.4362469932819456,0.06868220833333337,0.027668615464913462,0.006186890502284844,0.056555902948855076,0.08080851371781167,0.04405,0.03849671893059268,0.008608128043950823,0.027178069033856386,0.06092193096614361,0.044816375000000006,0.002075890266021865,0.0004641831748655012,0.04390657597726362,0.04572617402273639,4526.2,304.3594827450627,68.05684930146344,4392.808575369131,4659.5914246308685,4526.2,304.3594827450627,68.05684930146344,4392.808575369131,4659.5914246308685,0.0,0.0,0.0,0.0,0.0,31.238099999999996,2.769975045488962,0.6193852497691391,30.024104910452483,32.452095089547505
0.35,0.35,baseline1_hdv,20,0.95,0.66451351875,0.004861678478544281,0.0010871043562772765,0.6623827942116965,0.6666442432883034,0.6640348125000002,0.004860517796913308,0.0010868448199745674,0.6619045966528501,0.6661650283471503,1.8986100535714285,0.013890509938698952,0.003106012446506729,1.8925222691762753,1.9046978379665818,1.8985984631879915,0.013897120219909881,0.003107490550320532,1.8925077817093632,1.9046891446666199,1.914825,0.038082761330112534,0.008515564310503192,1.8981344939514138,1.9315155060485862,0.6808625,0.006347126888352104,0.0014192607184172023,0.6780807489919023,0.6836442510080978,0.3451730535714284,0.03800299937327493,0.008497728994752464,0.3285175047417136,0.36182860240114323,0.346625,0.0349803986465804,0.007821854925379542,0.33129416434625614,0.3619558356537439,0.02756757142857143,0.0025877292355789947,0.0005786338478118199,0.026433449086860263,0.0287016937702826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.35,baseline2_matched,20,0.95,0.6664919062499998,0.005211313472312391,0.0011652851176150974,0.6642079474194742,0.6687758650805253,0.6658981437499997,0.005202459674354342,0.0011633053482057727,0.6636180652675163,0.668178222232483,1.904262589285714,0.014889467063749448,0.003329386050328796,1.8977369926270695,1.9107881859443583,1.9039260721944256,0.014874795351976652,0.0033261053558417703,1.8974069056969758,1.9104452386918753,2.37505,0.06635468888362078,0.01483735949696257,2.3459687753859533,2.4041312246140465,0.6041583333333334,0.01105911481393682,0.0024728932494937667,0.5993114625643255,0.6090052041023412,0.31578123214285686,0.044843505567712,0.010027312679879432,0.29612769929029314,0.3354347649954206,0.309525,0.048747327861988606,0.0109002338820876,0.2881605415911083,0.33088945840889167,0.030575803571428573,0.0032100848569577554,0.0007177967953700229,0.02916892185250333,0.03198268529035382,1852.1,225.57479795775993,50.44005822443319,1753.2374858801109,1950.962514119889,1852.1,225.57479795775993,50.44005822443319,1753.2374858801109,1950.962514119889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
