requested_density,av_fraction,treatment_mode,comparison_mode,runs,pv_speed_win_rate,pv_speed_tie_rate,pv_speed_delta_valid_runs,pv_speed_delta_mean,pv_speed_delta_std,pv_speed_delta_ci_low,pv_speed_delta_ci_high,pv_speed_ratio_valid_runs,pv_speed_ratio_mean,pv_speed_ratio_std,pv_speed_ratio_ci_low,pv_speed_ratio_ci_high,priority_time_loss_delta_valid_runs,priority_time_loss_delta_mean,priority_time_loss_delta_std,priority_time_loss_delta_ci_low,priority_time_loss_delta_ci_high,background_flow_delta_valid_runs,background_flow_delta_mean,background_flow_delta_std,background_flow_delta_ci_low,background_flow_delta_ci_high,background_flow_ratio_valid_runs,background_flow_ratio_mean,background_flow_ratio_std,background_flow_ratio_ci_low,background_flow_ratio_ci_high,all_speed_delta_valid_runs,all_speed_delta_mean,all_speed_delta_std,all_speed_delta_ci_low,all_speed_delta_ci_high,priority_stopped_delta_valid_runs,priority_stopped_delta_mean,priority_stopped_delta_std,priority_stopped_delta_ci_low,priority_stopped_delta_ci_high,completed_priority_laps_delta_valid_runs,completed_priority_laps_delta_mean,completed_priority_laps_delta_std,completed_priority_laps_delta_ci_low,completed_priority_laps_delta_ci_high,priority_lap_time_delta_valid_runs,priority_lap_time_delta_mean,priority_lap_time_delta_std,priority_lap_time_delta_ci_low,priority_lap_time_delta_ci_high,pv_speed_advantage
0.05,0.9,grid_cnn_ppo,noop,30,1.0,0.0,30,0.5155666666666668,0.14206007309520888,0.46668250000000006,0.5660170833333334,30,1.097578449586017,0.029009195123770898,1.0874596826200857,1.1079283194741143,30,-0.0859277777777778,0.023676678849201493,-0.09468902777777777,-0.07798041666666669,30,-0.003612099999990494,0.0009549844828575101,-0.003958030208323137,-0.003274153958324773,30,0.9854628049961357,0.003839775005248618,0.9841068935108046,0.9868305449569023,30,-0.06966416666665311,0.01914443969575403,-0.07649174166665425,-0.06301115833332271,30,-0.002783333333333334,0.0019461869586863743,-0.003466666666666668,-0.0021333333333333334,30,1.0,0.0,1.0,1.0,30,-16.543030303030303,5.153714657374813,-18.357015151515157,-14.754780303030307,True
0.05,0.9,left_if_safe,baseline1_hdv,30,0.9666666666666667,0.0,30,0.4785833333333334,0.22120925821389176,0.3994320833333332,0.5539837499999998,30,1.090703967775495,0.04342993867513214,1.0748844693289281,1.1056573885289063,30,-0.07976388888888891,0.03686820970231531,-0.09253340277777779,-0.06662222222222221,30,-0.008638191666657998,0.0014121746011866564,-0.009055771458323867,-0.008086143333324766,30,0.9652364750952661,0.005673757762489857,0.9635476225311986,0.9674901501181761,30,-0.17037091666664284,0.027699331075291312,-0.1785292249999701,-0.15906074374997248,30,-0.002433333333333334,0.002192201433818704,-0.0032333333333333333,-0.0016666666666666668,30,0.8,0.4068381021724863,0.6666666666666666,0.9333333333333333,30,-15.271515151515151,7.221223087947943,-17.735219696969697,-12.731068181818182,True
0.05,0.9,left_if_safe,baseline2_matched,30,0.6333333333333333,0.0,30,0.07024999999999999,0.29680836003422634,-0.034152083333333395,0.17590125000000004,30,1.01400641433132,0.054731858759570394,0.9957205181956278,1.0344939620434876,30,-0.011708333333333331,0.04946806000570441,-0.029022430555555572,0.0056200000000000165,30,-0.006961800000000336,0.0017870470527509717,-0.007528995833333744,-0.0062774830208347935,30,0.9718128017726902,0.0071690320099726985,0.9695034666017958,0.9744397235463046,30,-0.13888474999997616,0.03490479795684812,-0.1499794062499736,-0.12543835208331378,30,-0.0008000000000000001,0.0027593102586422344,-0.00185,6.666666666666666e-05,30,0.03333333333333333,0.49013251785356104,-0.13333333333333333,0.2,30,-2.173030303030302,9.602199592259808,-5.590916666666666,1.0531666666666666,False
0.05,0.9,left_if_safe,noop,30,0.9666666666666667,0.0,30,0.4779333333333334,0.2292892967610905,0.3943991666666665,0.5568020833333334,30,1.0905958598362944,0.044667011984197175,1.0743874766850896,1.1058826908976003,30,-0.07965555555555556,0.038214882793515106,-0.09271125000000002,-0.0657190277777778,30,-0.008617954166658504,0.0014287794233554104,-0.009053997395824357,-0.008047024791658874,30,0.9653158055323828,0.005736598154701872,0.9635792188304901,0.9676439180198482,30,-0.16996941666664636,0.027987493371296548,-0.1784371999999809,-0.15873046458331586,30,-0.0024333333333333342,0.002284631311587289,-0.003233333333333334,-0.0016162500000000061,30,0.9,0.30512857662936466,0.7666666666666667,1.0,30,-15.135757575757577,7.754213751953889,-17.802757575757575,-12.33931818181818,True
0.05,0.9,node_mlp_ppo,baseline1_hdv,30,0.9333333333333333,0.0,30,0.4991166666666665,0.21675397953365963,0.4210304166666666,0.5730012499999999,30,1.0945499601933644,0.042470442083002366,1.079167044271508,1.1090690434901982,30,-0.08318611111111111,0.03612566325560993,-0.09535312500000004,-0.07004333333333335,30,-0.007658054166657487,0.0014783921498703358,-0.008130181458324148,-0.0070925340624906,30,0.9691792172713458,0.005950830985827957,0.9672918348261373,0.971435059140604,30,-0.15066549999997497,0.028894095517520486,-0.15969983124997325,-0.1397394437499825,30,-0.0026166666666666673,0.002184125064837308,-0.0034000000000000002,-0.0018666666666666669,30,0.8333333333333334,0.3790490217894517,0.7,0.9666666666666667,30,-15.886666666666667,7.243731671096464,-18.36578030303031,-13.240878787878794,True
0.05,0.9,node_mlp_ppo,baseline2_matched,30,0.6333333333333333,0.0,30,0.09078333333333326,0.26506413288151587,0.000999583333333313,0.1855504166666666,30,1.01732283347757,0.04913651019603775,1.000690873972622,1.0353106539970978,30,-0.01513055555555554,0.04417735548025266,-0.030736458333333324,-0.00024118055555554318,30,-0.005981662499999826,0.001823409615001874,-0.006594899479166067,-0.0052874590624998165,30,0.9757818902367948,0.007326939876500784,0.9733379397921539,0.9784482309662277,30,-0.11917933333330828,0.035712935874331705,-0.1308632541666447,-0.10610065624997694,30,-0.0009833333333333335,0.0025409858707600673,-0.001966666666666667,-0.00016666666666666663,30,0.06666666666666667,0.36514837167011077,-0.06666666666666667,0.2,30,-2.788181818181821,8.70655199214399,-5.990924242424241,0.18335606060605553,True
0.05,0.9,node_mlp_ppo,grid_cnn_ppo,30,0.6666666666666666,0.0,30,-0.017100000000000115,0.16630312995997032,-0.08152041666666675,0.03628374999999987,30,0.9970973730801543,0.02871734562881688,0.9860676400221925,1.0063210874053563,30,0.0028500000000000266,0.027717188326661715,-0.0060891666666666264,0.013419791666666703,30,-0.0040257166666674985,0.0018757070534495535,-0.004647275416667455,-0.0033308417708341645,30,0.9835745166556727,0.00762570991077746,0.9810806954826379,0.9863734012273291,30,-0.08059983333332538,0.03699352632633383,-0.0927393374999861,-0.06705596874999362,30,0.00016666666666666663,0.001227088882859258,-0.00023333333333333336,0.0006166666666666667,30,-0.06666666666666667,0.2537081317024625,-0.16666666666666666,0.0,30,0.7921212121212098,5.527359208474849,-0.9424242424242436,2.9085378787878744,False
0.05,0.9,node_mlp_ppo,left_if_safe,30,0.5,0.03333333333333333,30,0.02053333333333326,0.2593525071953339,-0.07252000000000007,0.10856958333333319,30,1.0045852132493964,0.04610502535010527,0.9883028387308767,1.0206972162247157,30,-0.003422222222222208,0.043225417865889,-0.018169999999999988,0.011958333333333345,30,0.000980137500000511,0.0022016872153253863,0.00018706197916738132,0.001744107395833991,30,1.0041232455524594,0.00911943232307627,1.0008465625514789,1.00737055154451,30,0.01970541666666786,0.04303822240713905,0.004091206250002422,0.03456442499999973,30,-0.0001833333333333334,0.0019319604717405107,-0.0008833333333333334,0.0005,30,0.03333333333333333,0.4138409933973337,-0.1,0.16666666666666666,30,-0.6151515151515193,8.163830569749582,-3.381257575757579,2.3254848484848463,False
0.05,0.9,node_mlp_ppo,noop,30,0.9666666666666667,0.0,30,0.49846666666666667,0.1982000875697175,0.42849708333333325,0.5650845833333333,30,1.0942503129603514,0.039007935227285476,1.0804273572501673,1.1078453475813215,30,-0.08307777777777776,0.03303334792828625,-0.09440354166666669,-0.07106937499999998,30,-0.007637816666657993,0.001474795274999987,-0.008098783645825084,-0.007074570416657112,30,0.9692584169000359,0.005934772691906778,0.9673943970842759,0.9714459375905844,30,-0.1502639999999785,0.02883196166044759,-0.15942401249997254,-0.13940488958331107,30,-0.0026166666666666673,0.001976950513627828,-0.003333333333333334,-0.0019500000000000003,30,0.9333333333333333,0.2537081317024625,0.8333333333333334,1.0,30,-15.750909090909094,6.721613988756725,-18.048803030303034,-13.309075757575762,True
0.05,0.9,noop,baseline1_hdv,30,0.3333333333333333,0.3333333333333333,30,0.0006499999999999358,0.07429497940989852,-0.023700416666666762,0.028133333333333226,30,1.0002459289130496,0.01400220339701771,0.9957374332701179,1.005488760697724,30,-0.0001083333333333362,0.012382496568316408,-0.004852986111111107,0.003925069444444447,30,-2.0237499999494386e-05,0.00011239695639857301,-6.670156249855076e-05,8.77927083330394e-06,30,0.9999182900485134,0.00045313416657344894,0.9997281595929809,1.0000370446574613,30,-0.00040149999999649445,0.0022844951151215907,-0.0013454937499922045,0.00023641875000729597,30,0.0,0.0010667385033281394,-0.0003833333333333334,0.00036666666666666667,30,-0.1,0.30512857662936466,-0.23333333333333334,0.0,30,-0.1357575757575745,2.449935219170586,-1.0864090909090889,0.6533484848484863,False
0.05,0.9,noop,baseline2_matched,30,0.06666666666666667,0.0,30,-0.40768333333333334,0.2198455760274711,-0.4838004166666668,-0.3304329166666667,30,0.9299663030557805,0.03714681487417572,0.9170692983945605,0.9433114443940885,30,0.06794722222222221,0.03664092933791184,0.05451638888888892,0.08094243055555556,30,0.0016561541666581673,0.001031198338143498,0.0013101827083249558,0.002030726666657843,30,1.0067297618100468,0.004231293066378309,1.0053099259065277,1.0082505096158614,30,0.031084666666670202,0.02025538680727743,0.02422306875001458,0.038564333333330765,30,0.0016333333333333334,0.0021969152877635485,0.0008666666666666665,0.002416666666666667,30,-0.8666666666666667,0.34574590364176044,-0.9666666666666667,-0.7333333333333333,30,12.962727272727273,7.302261875484039,10.288462121212117,15.474250000000001,False
