requested_density,effective_density,density_index,run_index,av_fraction,treatment_mode,comparison_mode,pv_speed_treatment,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta,completed_priority_laps_delta,priority_lap_time_delta
0.05,0.05,0,0,1.0,noop,baseline2_matched,5.4905,5.9975,-0.5069999999999997,0.9154647769904127,0.08449999999999991,0.005988374999987417,1.0246796747497873,0.11723249999998409,0.0005,-1.0,15.172727272727286
0.05,0.05,0,0,1.0,left_if_safe,baseline1_hdv,5.9995,5.452,0.5475000000000003,1.100421863536317,-0.09125000000000005,-0.010351124999990469,0.9583631455336872,-0.20428499999994543,-0.002,1.0,-17.372727272727275
0.05,0.05,0,0,1.0,left_if_safe,baseline2_matched,5.9995,5.9975,0.002000000000000668,1.000333472280117,-0.00033333333333340764,-0.004390250000002649,0.9819066203985979,-0.0877949999999883,0.0,0.0,0.0
0.05,0.05,0,0,1.0,left_if_safe,noop,5.9995,5.4905,0.5090000000000003,1.0927055823695475,-0.08483333333333332,-0.010378624999990066,0.9582571457156756,-0.20502749999997238,-0.0005,1.0,-15.172727272727286
0.05,0.05,0,0,1.0,graph_ppo,baseline1_hdv,5.9995,5.452,0.5475000000000003,1.100421863536317,-0.09125000000000005,-0.010351124999990469,0.9583631455336872,-0.20428499999994543,-0.002,1.0,-17.372727272727275
0.05,0.05,0,0,1.0,graph_ppo,baseline2_matched,5.9995,5.9975,0.002000000000000668,1.000333472280117,-0.00033333333333340764,-0.004390250000002649,0.9819066203985979,-0.0877949999999883,0.0,0.0,0.0
0.05,0.05,0,0,1.0,graph_ppo,noop,5.9995,5.4905,0.5090000000000003,1.0927055823695475,-0.08483333333333332,-0.010378624999990066,0.9582571457156756,-0.20502749999997238,-0.0005,1.0,-15.172727272727286
0.05,0.05,0,0,1.0,graph_ppo,left_if_safe,5.9995,5.9995,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.05,0.05,0,0,1.0,node_mlp_ppo,baseline1_hdv,5.999,5.452,0.5469999999999997,1.1003301540719002,-0.09116666666666662,-0.010273999999989875,0.9586733767791549,-0.20274499999994955,-0.002,1.0,-17.372727272727275
0.05,0.05,0,0,1.0,node_mlp_ppo,baseline2_matched,5.999,5.9975,0.0015000000000000568,1.0002501042100875,-0.00024999999999997247,-0.004313125000002055,0.9822244728903166,-0.08625499999999242,0.0,0.0,0.0
0.05,0.05,0,0,1.0,node_mlp_ppo,noop,5.999,5.4905,0.5084999999999997,1.092614515982151,-0.08474999999999988,-0.010301499999989472,0.9585673426479961,-0.2034874999999765,-0.0005,1.0,-15.172727272727286
0.05,0.05,0,0,1.0,node_mlp_ppo,left_if_safe,5.999,5.9995,-0.0005000000000006111,0.9999166597216433,8.333333333343518e-05,7.712500000059408e-05,1.0003237094904092,0.001539999999995878,0.0,0.0,0.0
0.05,0.05,0,0,1.0,grid_cnn_ppo,baseline1_hdv,5.9715,5.452,0.5194999999999999,1.09528613352898,-0.08658333333333335,-0.007271124999989831,0.9707522831159682,-0.1428249999999638,-0.002,1.0,-16.554545454545462
0.05,0.05,0,0,1.0,grid_cnn_ppo,baseline2_matched,5.9715,5.9975,-0.0259999999999998,0.9956648603584828,0.0043333333333333,-0.0013102500000020112,0.9946001137468802,-0.02633500000000666,0.0,0.0,0.818181818181813
0.05,0.05,0,0,1.0,grid_cnn_ppo,noop,5.9715,5.4905,0.48099999999999987,1.0876058646753484,-0.08016666666666661,-0.007298624999989428,0.9706449129965888,-0.14356749999999074,-0.0005,1.0,-14.354545454545473
0.05,0.05,0,0,1.0,grid_cnn_ppo,left_if_safe,5.9715,5.9995,-0.02800000000000047,0.9953329444120342,0.004666666666666708,0.003080000000000638,1.0129273935877217,0.06145999999998164,0.0,0.0,0.818181818181813
0.05,0.05,0,0,1.0,graph_ppo,node_mlp_ppo,5.9995,5.999,0.0005000000000006111,1.0000833472245376,-8.333333333343518e-05,-7.712500000059408e-05,0.999676395263515,-0.001539999999995878,0.0,0.0,0.0
0.05,0.05,0,0,1.0,graph_ppo,grid_cnn_ppo,5.9995,5.9715,0.02800000000000047,1.0046889391275224,-0.004666666666666708,-0.003080000000000638,0.9872375910953166,-0.06145999999998164,0.0,0.0,-0.818181818181813
0.05,0.05,0,0,1.0,node_mlp_ppo,grid_cnn_ppo,5.999,5.9715,0.027499999999999858,1.0046052080716739,-0.004583333333333273,-0.0030028750000000437,0.9875571692728429,-0.05991999999998576,0.0,0.0,-0.818181818181813
0.05,0.05,0,1,0.9,baseline2_matched,baseline1_hdv,5.678,5.2175,0.4604999999999997,1.0882606612362242,-0.07674999999999998,-0.0010872499999899365,0.9956264512710243,-0.01944250000005887,-0.005,1.0,-15.309090909090912
0.05,0.05,0,1,0.9,noop,baseline1_hdv,5.2175,5.2175,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.05,0.05,0,1,0.9,noop,baseline2_matched,5.2175,5.678,-0.4604999999999997,0.9188974991194083,0.07674999999999998,0.0010872499999899365,1.0043927606818726,0.01944250000005887,0.005,-1.0,15.309090909090912
0.05,0.05,0,1,0.9,left_if_safe,baseline1_hdv,5.71,5.2175,0.4924999999999997,1.0943938667944417,-0.08208333333333329,-0.008189749999990115,0.9670560858096879,-0.16133249999999322,-0.0045000000000000005,1.0,-15.945454545454538
0.05,0.05,0,1,0.9,left_if_safe,baseline2_matched,5.71,5.678,0.03200000000000003,1.0056357872490314,-0.005333333333333301,-0.007102500000000178,0.9713041317605984,-0.14188999999993435,0.0005,0.0,-0.636363636363626
0.05,0.05,0,1,0.9,left_if_safe,noop,5.71,5.2175,0.4924999999999997,1.0943938667944417,-0.08208333333333329,-0.008189749999990115,0.9670560858096879,-0.16133249999999322,-0.0045000000000000005,1.0,-15.945454545454538
0.05,0.05,0,1,0.9,graph_ppo,baseline1_hdv,5.902,5.2175,0.6844999999999999,1.131193100143747,-0.11408333333333331,-0.0073404999999899245,0.970472260799909,-0.14338749999999578,-0.007,1.0,-22.76363636363638
0.05,0.05,0,1,0.9,graph_ppo,baseline2_matched,5.902,5.678,0.2240000000000002,1.0394505107432195,-0.03733333333333333,-0.006253249999999988,0.9747353131899987,-0.12394499999993691,-0.002,0.0,-7.4545454545454675
0.05,0.05,0,1,0.9,graph_ppo,noop,5.902,5.2175,0.6844999999999999,1.131193100143747,-0.11408333333333331,-0.0073404999999899245,0.970472260799909,-0.14338749999999578,-0.007,1.0,-22.76363636363638
0.05,0.05,0,1,0.9,graph_ppo,left_if_safe,5.902,5.71,0.19200000000000017,1.0336252189141857,-0.03200000000000003,0.0008492500000001901,1.003532551048847,0.017944999999997435,-0.0025,0.0,-6.818181818181841
0.05,0.05,0,1,0.9,node_mlp_ppo,baseline1_hdv,5.926,5.2175,0.7084999999999999,1.13579300431241,-0.11808333333333332,-0.009142999999990131,0.9632215626310863,-0.17931749999998559,-0.007,1.0,-22.672727272727286
0.05,0.05,0,1,0.9,node_mlp_ppo,baseline2_matched,5.926,5.678,0.24800000000000022,1.043677351179993,-0.04133333333333333,-0.008055750000000195,0.9674527644393439,-0.15987499999992671,-0.002,0.0,-7.363636363636374
0.05,0.05,0,1,0.9,node_mlp_ppo,noop,5.926,5.2175,0.7084999999999999,1.13579300431241,-0.11808333333333332,-0.009142999999990131,0.9632215626310863,-0.17931749999998559,-0.007,1.0,-22.672727272727286
0.05,0.05,0,1,0.9,node_mlp_ppo,left_if_safe,5.926,5.71,0.2160000000000002,1.0378283712784588,-0.03600000000000003,-0.0009532500000000166,0.9960348492348392,-0.017984999999992368,-0.0025,0.0,-6.727272727272748
0.05,0.05,0,1,0.9,grid_cnn_ppo,baseline1_hdv,5.908,5.2175,0.6905000000000001,1.1323430761859128,-0.11508333333333332,-0.003438749999988583,0.9861673573770022,-0.06532250000001305,-0.007,1.0,-21.945454545454538
0.05,0.05,0,1,0.9,grid_cnn_ppo,baseline2_matched,5.908,5.678,0.23000000000000043,1.0405072208524129,-0.03833333333333333,-0.0023514999999986463,0.9904993545702341,-0.04587999999995418,-0.002,0.0,-6.636363636363626
0.05,0.05,0,1,0.9,grid_cnn_ppo,noop,5.908,5.2175,0.6905000000000001,1.1323430761859128,-0.11508333333333332,-0.003438749999988583,0.9861673573770022,-0.06532250000001305,-0.007,1.0,-21.945454545454538
0.05,0.05,0,1,0.9,grid_cnn_ppo,left_if_safe,5.908,5.71,0.1980000000000004,1.034676007005254,-0.03300000000000003,0.004751000000001532,1.019762319732793,0.09600999999998017,-0.0025,0.0,-6.0
0.05,0.05,0,1,0.9,graph_ppo,node_mlp_ppo,5.902,5.926,-0.02400000000000002,0.9959500506243671,0.0040000000000000036,0.0018025000000002067,1.0075275496833949,0.0359299999999898,0.0,0.0,-0.09090909090909349
0.05,0.05,0,1,0.9,graph_ppo,grid_cnn_ppo,5.902,5.908,-0.006000000000000227,0.9989844278943805,0.0010000000000000009,-0.0039017500000013416,0.9840847535058969,-0.07806499999998273,0.0,0.0,-0.8181818181818414
0.05,0.05,0,1,0.9,node_mlp_ppo,grid_cnn_ppo,5.926,5.908,0.017999999999999794,1.0030467163168584,-0.0030000000000000027,-0.005704250000001548,0.9767323521973522,-0.11399499999997253,0.0,0.0,-0.7272727272727479
0.05,0.05,0,1,0.95,baseline2_matched,baseline1_hdv,5.7855,5.2175,0.5679999999999996,1.1088643986583613,-0.09466666666666657,-0.0021721249999872017,0.9912624561665134,-0.04060249999999943,-0.005,1.0,-18.21818181818182
0.05,0.05,0,1,0.95,noop,baseline1_hdv,5.2175,5.2175,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.05,0.05,0,1,0.95,noop,baseline2_matched,5.2175,5.7855,-0.5679999999999996,0.9018235243280616,0.09466666666666657,0.0021721249999872017,1.0088145614505335,0.04060249999999943,0.005,-1.0,18.21818181818182
0.05,0.05,0,1,0.95,left_if_safe,baseline1_hdv,5.271,5.2175,0.05349999999999966,1.0102539530426449,-0.008916666666666573,-0.0055454999999890175,0.9776927896282263,-0.11064249999999554,-0.0015000000000000005,0.0,-0.4000000000000057
0.05,0.05,0,1,0.95,left_if_safe,baseline2_matched,5.271,5.7855,-0.5145,0.911070780399274,0.08574999999999999,-0.003373375000001816,0.9863107228021478,-0.0700399999999961,0.0034999999999999996,-1.0,17.818181818181813
0.05,0.05,0,1,0.95,left_if_safe,noop,5.271,5.2175,0.05349999999999966,1.0102539530426449,-0.008916666666666573,-0.0055454999999890175,0.9776927896282263,-0.11064249999999554,-0.0015000000000000005,0.0,-0.4000000000000057
0.05,0.05,0,1,0.95,graph_ppo,baseline1_hdv,5.903,5.2175,0.6854999999999993,1.1313847628174412,-0.11424999999999985,-0.009980624999989252,0.9598521501186573,-0.19618499999999894,-0.006,1.0,-21.76363636363638
0.05,0.05,0,1,0.95,graph_ppo,baseline2_matched,5.903,5.7855,0.11749999999999972,1.020309394175093,-0.019583333333333286,-0.00780850000000205,0.968312825879305,-0.1555824999999995,-0.001,0.0,-3.545454545454561
0.05,0.05,0,1,0.95,graph_ppo,noop,5.903,5.2175,0.6854999999999993,1.1313847628174412,-0.11424999999999985,-0.009980624999989252,0.9598521501186573,-0.19618499999999894,-0.006,1.0,-21.76363636363638
0.05,0.05,0,1,0.95,graph_ppo,left_if_safe,5.903,5.271,0.6319999999999997,1.1199013469929804,-0.10533333333333328,-0.004435125000000234,0.9817523053265506,-0.08554250000000341,-0.0045,1.0,-21.363636363636374
0.05,0.05,0,1,0.95,node_mlp_ppo,baseline1_hdv,5.9765,5.2175,0.7589999999999995,1.145471969333972,-0.12649999999999995,-0.01052849999998981,0.9576482797945257,-0.20677500000000126,-0.007,1.0,-23.945454545454538
0.05,0.05,0,1,0.95,node_mlp_ppo,baseline2_matched,5.9765,5.7855,0.19099999999999984,1.033013568403768,-0.03183333333333338,-0.008356375000002608,0.9660895294047722,-0.16617250000000183,-0.002,0.0,-5.7272727272727195
0.05,0.05,0,1,0.95,node_mlp_ppo,noop,5.9765,5.2175,0.7589999999999995,1.145471969333972,-0.12649999999999995,-0.01052849999998981,0.9576482797945257,-0.20677500000000126,-0.007,1.0,-23.945454545454538
0.05,0.05,0,1,0.95,node_mlp_ppo,left_if_safe,5.9765,5.271,0.7054999999999998,1.13384557010055,-0.11758333333333337,-0.004983000000000792,0.9794981511101022,-0.09613250000000573,-0.0055,1.0,-23.545454545454533
0.05,0.05,0,1,0.95,grid_cnn_ppo,baseline1_hdv,5.945,5.2175,0.7275,1.139434595112602,-0.12124999999999997,-0.003517749999988745,0.9858495736569811,-0.06671749999997978,-0.007,1.0,-23.03636363636363
0.05,0.05,0,1,0.95,grid_cnn_ppo,baseline2_matched,5.945,5.7855,0.15950000000000042,1.0275689223057645,-0.026583333333333403,-0.0013456250000015435,0.9945394053049628,-0.02611499999998035,-0.002,0.0,-4.818181818181813
0.05,0.05,0,1,0.95,grid_cnn_ppo,noop,5.945,5.2175,0.7275,1.139434595112602,-0.12124999999999997,-0.003517749999988745,0.9858495736569811,-0.06671749999997978,-0.007,1.0,-23.03636363636363
0.05,0.05,0,1,0.95,grid_cnn_ppo,left_if_safe,5.945,5.271,0.6740000000000004,1.1278694744830204,-0.1123333333333334,0.0020277500000002724,1.0083428906454925,0.04392500000001576,-0.0055,1.0,-22.636363636363626
0.05,0.05,0,1,0.95,graph_ppo,node_mlp_ppo,5.903,5.9765,-0.07350000000000012,0.9877018321760227,0.012250000000000094,0.0005478750000005583,1.0023013358564217,0.01059000000000232,0.001,0.0,2.1818181818181586
0.05,0.05,0,1,0.95,graph_ppo,grid_cnn_ppo,5.903,5.945,-0.0420000000000007,0.9929352396972244,0.007000000000000117,-0.006462875000000506,0.9736294215334628,-0.12946750000001916,0.001,0.0,1.272727272727252
0.05,0.05,0,1,0.95,node_mlp_ppo,grid_cnn_ppo,5.9765,5.945,0.03149999999999942,1.0052985702270816,-0.005249999999999977,-0.007010750000001065,0.9713939178795367,-0.14005750000002148,0.0,0.0,-0.9090909090909065
0.05,0.05,0,1,1.0,baseline2_matched,baseline1_hdv,5.993,5.2175,0.7755000000000001,1.148634403449928,-0.12924999999999998,-0.006334624999989574,0.9745184721844118,-0.12281499999998324,-0.007,1.0,-24.4909090909091
0.05,0.05,0,1,1.0,noop,baseline1_hdv,5.2175,5.2175,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.05,0.05,0,1,1.0,noop,baseline2_matched,5.2175,5.993,-0.7755000000000001,0.8705990322042383,0.12924999999999998,0.006334624999989574,1.0261478140670548,0.12281499999998324,0.007,-1.0,24.4909090909091
0.05,0.05,0,1,1.0,left_if_safe,baseline1_hdv,5.998,5.2175,0.7805,1.1495927168183997,-0.13008333333333333,-0.010900124999989824,0.9561533889723406,-0.21410000000000018,-0.007,1.0,-24.672727272727286
0.05,0.05,0,1,1.0,left_if_safe,baseline2_matched,5.998,5.993,0.004999999999999893,1.0008343066911396,-0.0008333333333333526,-0.00456550000000025,0.9811547100067737,-0.09128500000001694,0.0,0.0,-0.18181818181818699
0.05,0.05,0,1,1.0,left_if_safe,noop,5.998,5.2175,0.7805,1.1495927168183997,-0.13008333333333333,-0.010900124999989824,0.9561533889723406,-0.21410000000000018,-0.007,1.0,-24.672727272727286
0.05,0.05,0,1,1.0,graph_ppo,baseline1_hdv,5.998,5.2175,0.7805,1.1495927168183997,-0.13008333333333333,-0.010900124999989824,0.9561533889723406,-0.21410000000000018,-0.007,1.0,-24.672727272727286
0.05,0.05,0,1,1.0,graph_ppo,baseline2_matched,5.998,5.993,0.004999999999999893,1.0008343066911396,-0.0008333333333333526,-0.00456550000000025,0.9811547100067737,-0.09128500000001694,0.0,0.0,-0.18181818181818699
0.05,0.05,0,1,1.0,graph_ppo,noop,5.998,5.2175,0.7805,1.1495927168183997,-0.13008333333333333,-0.010900124999989824,0.9561533889723406,-0.21410000000000018,-0.007,1.0,-24.672727272727286
0.05,0.05,0,1,1.0,graph_ppo,left_if_safe,5.998,5.998,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.05,0.05,0,1,1.0,node_mlp_ppo,baseline1_hdv,5.9895,5.2175,0.7719999999999994,1.147963584091998,-0.1286666666666666,-0.010985249999989316,0.9558109669575737,-0.21584499999999185,-0.007,1.0,-24.400000000000006
0.05,0.05,0,1,1.0,node_mlp_ppo,baseline2_matched,5.9895,5.993,-0.0035000000000007248,0.9994159853162021,0.0005833333333333801,-0.004650624999999742,0.9808033344048322,-0.0930300000000086,0.0,0.0,0.09090909090909349
0.05,0.05,0,1,1.0,node_mlp_ppo,noop,5.9895,5.2175,0.7719999999999994,1.147963584091998,-0.1286666666666666,-0.010985249999989316,0.9558109669575737,-0.21584499999999185,-0.007,1.0,-24.400000000000006
0.05,0.05,0,1,1.0,node_mlp_ppo,left_if_safe,5.9895,5.998,-0.008500000000000618,0.9985828609536511,0.0014166666666667327,-8.512499999949186e-05,0.9996418754368116,-0.0017449999999916699,0.0,0.0,0.2727272727272805
0.05,0.05,0,1,1.0,grid_cnn_ppo,baseline1_hdv,5.977,5.2175,0.7595000000000001,1.1455678006708194,-0.12658333333333338,-0.007236249999989008,0.9708916146329777,-0.14092750000001075,-0.007,1.0,-24.03636363636363
